License Number,Facility Name,Street Address,City,Parish,Facility Phone Number,License Capacity,License Type,License Status,Age Range,Operation Days,Director,Director Designee
7787,Small World Christian Academy,1101 Franklin Ave,Gretna,JEFFERSON,5043615972,100,Type III ,Open,6 W To 12 Y,Monday From: 06:00 To: 18:00 / Tuesday From: 06:00 To: 18:00 / Wednesday From: 06:00 To: 18:00 / Thursday From: 06:00 To: 18:00 / Friday From: 06:00 To: 18:00,Shelita Edgerson,Doris  Green
7814,"Room to Grow Day Care Preschool and Learning Center, Inc.",250 Katherine Dr,Crowley,ACADIA,3375812565,38,Type III ,Open,6 W To 12 Y,Monday From: 06:30 To: 17:30 / Tuesday From: 06:30 To: 17:30 / Wednesday From: 06:30 To: 17:30 / Thursday From: 06:30 To: 17:30 / Friday From: 06:30 To: 17:30,Brenda Romero,Danielle  Romero
7866,Morrison Enrichment Centers DBA The Little Academy,59424 N Pearl Dr,Slidell,ST. TAMMANY,9856495757,150,Type III ,Open,6 W To 12 Y,Monday From: 07:00 To: 17:30 / Tuesday From: 07:00 To: 17:30 / Wednesday From: 07:00 To: 17:30 / Thursday From: 07:00 To: 17:30 / Friday From: 07:00 To: 17:30,Tiffany May,
7871,Yolanda's World of Learning Center,5270 Winbourne Ave,Baton Rouge,EAST BATON ROUGE,2253587289,28,Type III ,Open,6 W To 12 Y,Monday From: 06:30 To: 17:30 / Tuesday From: 06:30 To: 17:30 / Wednesday From: 06:30 To: 17:30 / Thursday From: 06:30 To: 17:30 / Friday From: 06:30 To: 17:30,Harristena Harrison,Octavia  Sterling
7873,Kid's World of New Orleans,3901 Saint Claude Ave,New Orleans,ORLEANS,5049449193,57,Type III ,Open,3 M To 12 Y,Monday From: 07:00 To: 17:30 / Tuesday From: 07:00 To: 17:30 / Wednesday From: 07:00 To: 17:30 / Thursday From: 07:00 To: 17:30 / Friday From: 07:00 To: 17:30,Trina Johnson,Prudence Harris; Davesha Foster; Keshonna Parker
7880,Tiny Steps Daycare,2605 Enterprise Blvd,Lake Charles,CALCASIEU,3374338565,66,Type I ,Open,6 W To 5 Y,Monday From: 06:30 To: 17:30 / Tuesday From: 06:30 To: 17:30 / Wednesday From: 06:30 To: 17:30 / Thursday From: 06:30 To: 17:30 / Friday From: 06:30 To: 17:30,Lisa Sanders,
7892,EBRP Charlie Thomas Head Start Center,8686 Pecan Tree Dr,Baton Rouge,EAST BATON ROUGE,2257614436,125,Type III ,Open,3 Y To 5 Y,Monday From: 08:00 To: 16:30 / Tuesday From: 08:00 To: 16:30 / Wednesday From: 08:00 To: 16:30 / Thursday From: 08:00 To: 16:30 / Friday From: 08:00 To: 16:30,Melissa Mims,Cynthia Gardner; Kanika Coates; Tierney Payne; Barbara Varmall; Sherika Martin
7903,A Child's First Steps,345 Central Ave,Jefferson,JEFFERSON,5047332687,83,Type III ,Open,4 W To 12 Y,Monday From: 07:00 To: 17:30 / Tuesday From: 07:00 To: 17:30 / Wednesday From: 07:00 To: 17:30 / Thursday From: 07:00 To: 17:30 / Friday From: 07:00 To: 17:30,allison galbreath; tracy bertucci,
7953,Farmerville Head Start Center,7199 Highway 33,Farmerville,UNION,3183680075,44,Type III ,Open,3 Y To 5 Y,Monday From: 08:00 To: 15:00 / Tuesday From: 08:00 To: 15:00 / Wednesday From: 08:00 To: 15:00 / Thursday From: 08:00 To: 15:00 / Friday From: 08:00 To: 15:00,Pamela Harris,Jennifer Stringfellow
7981,Little One's Daycare,602 Martin Luther King South,Bastrop,MOREHOUSE,3182816918,36,Type III ,Open,6 W To 16 Y,Monday From: 06:30 To: 18:00 / Tuesday From: 06:30 To: 18:00 / Wednesday From: 06:30 To: 18:00 / Thursday From: 06:30 To: 18:00 / Friday From: 06:30 To: 18:00,Janice Fuller; Janice Fuller,
8001,Caddo Community Action Agency-C. E. Galloway Head Start,335 E Olive St,Shreveport,CADDO,3184251199,84,Type III ,Open,3 Y To 5 Y,Monday From: 07:30 To: 16:00 / Tuesday From: 07:30 To: 16:00 / Wednesday From: 07:30 To: 16:00 / Thursday From: 07:30 To: 16:00 / Friday From: 07:30 To: 16:00,Billy Gully,
8021,TCA@James Singleton Head Start Center,14441 Curran Rd,New Orleans,ORLEANS,5043255839,135,Type III ,Open,6 W To 5 Y,Monday From: 07:00 To: 17:00 / Tuesday From: 07:00 To: 17:00 / Wednesday From: 07:00 To: 17:00 / Thursday From: 07:00 To: 17:00 / Friday From: 07:00 To: 17:00,Alice Spencer,Delores Collins-Alexander
8100,Allen Action Agency Inc. Oakdale Center,820 Highway 372,Oakdale,ALLEN,3183352770,77,Type III ,Open,3 Y To 5 Y,Monday From: 07:30 To: 15:00 / Tuesday From: 07:30 To: 03:00 / Wednesday From: 07:30 To: 03:00 / Thursday From: 07:30 To: 03:00 / Friday From: 07:30 To: 03:00,Melissa Wilson,Michelle  Wilson
8104,EBRP LaBelle Aire Head Start Center,1919 N Cristy Dr,Baton Rouge,EAST BATON ROUGE,2252750426,226,Type III ,Open,3 Y To 5 Y,Monday From: 08:00 To: 16:30 / Tuesday From: 08:00 To: 16:30 / Wednesday From: 08:00 To: 16:30 / Thursday From: 08:00 To: 16:30 / Friday From: 08:00 To: 16:30,Barbara Varmall,Kanika Coates; Melissa Mims; Sherika Martin; Cynthia Gardner; Tierney Payne
8207,Riverside Academy,332 Railroad Ave,Reserve,ST. JOHN,9855364246,78,Type I ,Open,18 M To 5 Y,Monday From: 07:00 To: 15:00 / Tuesday From: 07:00 To: 15:00 / Wednesday From: 07:00 To: 15:00 / Thursday From: 07:00 To: 15:00 / Friday From: 07:00 To: 15:00,Crystal Millet,
8235,Catina's Daycare Center LLC,121 Cadillac St,Lafayette,LAFAYETTE,3372890102,28,Type III ,Open,6 W To 6 Y,Monday From: 07:00 To: 17:00 / Tuesday From: 07:00 To: 17:00 / Wednesday From: 07:00 To: 17:00 / Thursday From: 07:00 To: 17:00 / Friday From: 07:00 To: 17:00,Nellie  Peliter,
8236,Caddo Community Action Agency-Eddie D. Jones Head Start Center,1729 Ford St,Shreveport,CADDO,3182221559,114,Type III ,Open,3 Y To 5 Y,Monday From: 07:30 To: 16:00 / Tuesday From: 07:30 To: 16:00 / Wednesday From: 07:30 To: 16:00 / Thursday From: 07:30 To: 16:00 / Friday From: 07:30 To: 16:00,Latiesha Guyton,
8252,Pediatric Playhouse,115 S College Rd,Lafayette,LAFAYETTE,3372912828,37,Type II ,Open,6 W To 14 Y,Monday From: 07:00 To: 17:30 / Tuesday From: 07:00 To: 17:30 / Wednesday From: 07:00 To: 17:30 / Thursday From: 07:00 To: 17:30 / Friday From: 07:00 To: 17:30,Cherie Lyons,
8288,Kastle For Kids,7788 Highway 28 E,Pineville,RAPIDES,3184487114,140,Type III ,Open,6 W To 12 Y,Monday From: 06:30 To: 18:00 / Tuesday From: 06:30 To: 18:00 / Wednesday From: 06:30 To: 18:00 / Thursday From: 06:30 To: 18:00 / Friday From: 06:30 To: 18:00,Beverly  Jones,Stephanie  Hargis
8351,Riverbend Preschool,163 Longview Dr,Destrehan,ST. CHARLES,9857641572,82,Type II ,Open,12 M To 12 Y,Monday From: 07:00 To: 18:00 / Tuesday From: 07:00 To: 18:00 / Wednesday From: 07:00 To: 18:00 / Thursday From: 07:00 To: 18:00 / Friday From: 07:00 To: 18:00,Joanne Newchurch,Sarah  Roberts; Casey Millet; Ciara Givens
8386,Chase Back-Up Child Care Center,782 Kansas Lane,Monroe,OUACHITA,3184329140,86,Type II ,Open,6 W To 12 Y,Monday From: 06:30 To: 18:00 / Tuesday From: 06:30 To: 18:00 / Wednesday From: 06:30 To: 18:00 / Thursday From: 06:30 To: 18:00 / Friday From: 06:30 To: 18:00,Angela Yates; Marcella Hawk; Marcella Hawk,Loretha  Warren
8412,"Small World Infant and Child Development Center, L.L.C.",6446 Cypress St,West Monroe,OUACHITA,3183965440,179,Type III ,Open,6 W To 12 Y,Monday From: 07:00 To: 18:00 / Tuesday From: 07:00 To: 18:00 / Wednesday From: 07:00 To: 18:00 / Thursday From: 07:00 To: 18:00 / Friday From: 07:00 To: 18:00,Sharon Plunk,Christina Vallery
8414,Little Miracle's Child Development Center,1200 Martin Luther King Jr Dr,Lafayette,LAFAYETTE,3372348625,38,Type III ,Open,6 W To 12 Y,Monday From: 07:00 To: 17:30 / Tuesday From: 07:00 To: 17:30 / Wednesday From: 07:00 To: 17:30 / Thursday From: 07:00 To: 17:30 / Friday From: 07:00 To: 17:30,Cerise Carmouche,
8508,Caddo Community Action Agency-Balistine Williams Hopkins Head Start,1730 Cox St,Shreveport,CADDO,3186325588,555,Type III ,Open,3 Y To 5 Y,Monday From: 07:30 To: 16:00 / Tuesday From: 07:30 To: 16:00 / Wednesday From: 07:30 To: 16:00 / Thursday From: 07:30 To: 16:00 / Friday From: 07:30 To: 16:00,Betty  Jackson,
8570,Haynes and Gale II Child Care Center,3129 Loyola Dr,Kenner,JEFFERSON,5044698156,44,Type III ,Open,6 W To 12 Y,Monday From: 07:00 To: 17:30 / Tuesday From: 07:00 To: 17:30 / Wednesday From: 07:00 To: 17:30 / Thursday From: 07:00 To: 17:30 / Friday From: 07:00 To: 17:30,Donald Haynes,
8583,Clara's Little Lambs Preschool Academy,1871 Farragut St,New Orleans,ORLEANS,5043627710,281,Type III ,Open,6 W To 13 Y,Monday From: 06:30 To: 17:00 / Tuesday From: 06:30 To: 17:00 / Wednesday From: 06:30 To: 17:00 / Thursday From: 06:30 To: 17:00 / Friday From: 06:30 To: 17:00,SONJIA JOSEPH; CLARA WASHINGTON,JODIE EVANS; Nadia Miller
8591,Sugar n Spice Youngsvilles Preschool Inc,508 Lafayette St,Youngsville,LAFAYETTE,3378565679,68,Type III ,Open,6 W To 15 Y,Monday From: 06:45 To: 17:45 / Tuesday From: 06:45 To: 17:45 / Wednesday From: 06:45 To: 17:45 / Thursday From: 06:45 To: 17:45 / Friday From: 06:45 To: 17:45,Sonya Russo,
8634,St. Edward the Confessor School,4901 W Metairie Ave,Metairie,JEFFERSON,5048880756,63,Type I ,Open,1 Y To 4 Y,Monday From: 07:00 To: 18:00 / Tuesday From: 07:00 To: 18:00 / Wednesday From: 07:00 To: 18:00 / Thursday From: 07:00 To: 18:00 / Friday From: 07:00 To: 18:00,Debbie St. Romain,Courtney Martinez; ann schmitt
8686,Poplar Grove Baptist Church Day Care,2303 Court St,Port Allen,WEST BATON ROUGE,2253433883,54,Type III ,Open,6 W To 12 Y,Monday From: 06:30 To: 17:30 / Tuesday From: 06:30 To: 17:30 / Wednesday From: 06:30 To: 17:30 / Thursday From: 06:30 To: 17:30 / Friday From: 06:30 To: 17:30,Vanessa Williams,Carolyn Harris
8695,St. Mary Parish-Honey Bears Head Start,1112 Main St,Gueydan,VERMILION,3375366558,20,Type III ,Open,2 Y To 5 Y,Monday From: 07:45 To: 15:45 / Tuesday From: 07:45 To: 15:45 / Wednesday From: 07:45 To: 15:45 / Thursday From: 07:45 To: 15:45 / Friday From: 07:45 To: 15:45,Maxine Perrin,
8699,Angels Haven Daycare and Preschool,8819 S Claiborne Ave,New Orleans,ORLEANS,5048611554,32,Type III ,Open,6 W To 13 Y,Monday From: 07:00 To: 17:30 / Tuesday From: 07:00 To: 17:30 / Wednesday From: 07:00 To: 17:30 / Thursday From: 07:00 To: 17:30 / Friday From: 07:00 To: 17:30,Niquelle Lackings,
8731,All About Kids Preschool and Dev. Center,700 Reigel St,Lake Charles,CALCASIEU,3375621200,74,Type III ,Open,6 W To 12 Y,Monday From: 07:00 To: 17:30 / Tuesday From: 07:00 To: 17:30 / Wednesday From: 07:00 To: 17:30 / Thursday From: 07:00 To: 17:30 / Friday From: 07:00 To: 17:30,Falcia Coleman; Travonna Randall,
8809,First Methodist Monroe Daycare,3900 Loop Rd,Monroe,OUACHITA,3183257426,246,Type I ,Open,6 W To 12 Y,Monday From: 07:00 To: 18:00 / Tuesday From: 07:00 To: 18:00 / Wednesday From: 07:00 To: 18:00 / Thursday From: 07:00 To: 18:00 / Friday From: 07:00 To: 18:00,Tonda Butler,
8813,Rhema Christian Learning Center,7850 Plank Rd,Baton Rouge,EAST BATON ROUGE,2253555570,87,Type III ,Open,6 W To 16 Y,Monday From: 06:30 To: 17:15 / Tuesday From: 06:30 To: 17:15 / Wednesday From: 06:30 To: 17:15 / Thursday From: 06:30 To: 17:15 / Friday From: 06:30 To: 17:15,Karen Ennis,
8831,G.W. Carver Early Learning Center,337 Gum Street,Hahnville,ST. CHARLES,9857836617,217,Type III ,Open,2 Y To 5 Y,Monday From: 08:35 To: 15:45 / Tuesday From: 08:35 To: 15:45 / Wednesday From: 08:35 To: 15:45 / Thursday From: 08:35 To: 15:45 / Friday From: 08:35 To: 15:45,Nicole Weber,Kelisha Washington; Kim Butler
8864,Metairie Kid's World,2908 Lake Villa Dr,Metairie,JEFFERSON,5048870736,41,Type III ,Open,6 W To 12 Y,Monday From: 07:00 To: 17:15 / Tuesday From: 07:00 To: 17:15 / Wednesday From: 07:00 To: 17:15 / Thursday From: 07:00 To: 17:15 / Friday From: 07:00 To: 17:15,Arlene Franke,Miriam Hodges
8948,Regina Coeli Child Development Center -Robert Head Start & Early Head Start,22476 Highway 190 E,Robert,TANGIPAHOA,9853188812,88,Type III ,Open,6 W To 6 Y,Monday From: 07:30 To: 14:45 / Tuesday From: 07:30 To: 14:45 / Wednesday From: 07:30 To: 14:45 / Thursday From: 07:30 To: 14:45 / Friday From: 07:30 To: 14:45,Ashleigh Galbreath,
8969,Trinity Learning Academy,5524 E Judge Perez Dr,Violet,ST. BERNARD,5046824968,94,Type III ,Open,6 W To 14 Y,Monday From: 06:30 To: 17:30 / Tuesday From: 06:30 To: 17:30 / Wednesday From: 06:30 To: 17:30 / Thursday From: 06:30 To: 17:30 / Friday From: 06:30 To: 17:00,Clarvette Johnson,
9027,EBRP Progress Head Start Center,1881 Progress Rd,Baton Rouge,EAST BATON ROUGE,2257741901,350,Type III ,Open,3 Y To 5 Y,Monday From: 08:00 To: 15:00 / Tuesday From: 08:00 To: 15:00 / Wednesday From: 08:00 To: 15:00 / Thursday From: 08:00 To: 15:00 / Friday From: 08:00 To: 15:00,Kanika Coates,Cheryl Kimble; Barbara Varmall; Sherika Martin; Melissa  Ruffins-Mims; Cynthia Gardner; Tierney Payne
9031,Excellent Daycare & Nursery Inc,3003 Gayton St,Monroe,OUACHITA,3183621212,55,Type III ,Open,6 W To 13 Y,Monday From: 06:30 To: 20:30 / Tuesday From: 06:30 To: 20:30 / Wednesday From: 06:30 To: 20:30 / Thursday From: 06:30 To: 20:30 / Friday From: 06:30 To: 20:30,Gloria Tatum,
9047,Methodist Children's Learning Center,405 W Port St,DeRidder,BEAUREGARD,3374633750,105,Type I ,Open,0 W To 5 Y,Monday From: 06:30 To: 17:30 / Tuesday From: 06:30 To: 17:30 / Wednesday From: 06:30 To: 17:30 / Thursday From: 06:30 To: 17:30 / Friday From: 06:30 To: 17:30,Billie High; Savannah Lott,Alaina Vargas
9055,Bossier OCS-Wesley Chapel Head Start Center,6020 Hwy. 80 E,Princeton,BOSSIER,3189498815,42,Type III ,Open,34 M To 68 M,Monday From: 08:00 To: 16:00 / Tuesday From: 08:00 To: 16:00 / Wednesday From: 08:00 To: 16:00 / Thursday From: 08:00 To: 16:00 / Friday From: 08:00 To: 16:00,Beverly Wilson,Virginia Hudson; Michele Hopson
9058,The Children Learning Palace,1304 Beech St,Alexandria,RAPIDES,3184870130,56,Type III ,Open,4 W To 12 Y,Monday From: 05:45 To: 21:00 / Tuesday From: 05:45 To: 21:00 / Wednesday From: 05:45 To: 21:00 / Thursday From: 05:45 To: 21:00 / Friday From: 05:45 To: 21:00,Lisa Beverly,
9176,Franklin Parish Head Start,1310 Warren St,Winnsboro,FRANKLIN,3184129300,153,Type III ,Open,3 Y To 5 Y,Tuesday From: 07:30 To: 15:00 / Wednesday From: 07:30 To: 15:00 / Thursday From: 07:30 To: 15:00 / Friday From: 07:30 To: 15:00,Holly Sartin,
9183,Providence House CDC,825 Cotton St,Shreveport,CADDO,3182217887,39,Type III ,Open,8 W To 5 Y,Monday From: 07:30 To: 17:30 / Tuesday From: 07:30 To: 17:30 / Wednesday From: 07:30 To: 17:30 / Thursday From: 07:30 To: 17:30 / Friday From: 07:30 To: 17:30,Mikayla manos,LaToya Thomas
9219,Richardson Day Care and Early Learning Center,14885 Old Hammond Hwy,Baton Rouge,EAST BATON ROUGE,2252728008,58,Type III ,Open,6 W To 12 Y,Monday From: 06:00 To: 17:30 / Tuesday From: 06:00 To: 17:30 / Wednesday From: 06:00 To: 17:30 / Thursday From: 06:00 To: 17:30 / Friday From: 06:00 To: 17:30,Ollie  Fultz; Terry Richardson; Aprile Jones,
9260,Cornerstone Child Development Center,4201 Viking Dr,Bossier City,BOSSIER,3185490080,271,Type I ,Open,6 W To 12 Y,Monday From: 06:30 To: 17:45 / Tuesday From: 06:30 To: 17:45 / Wednesday From: 06:30 To: 17:45 / Thursday From: 06:30 To: 17:45 / Friday From: 06:30 To: 17:45,Robin Herring,
9373,Child Enrichment DBA Kids World 4,1183 Gardere Ln,Baton Rouge,EAST BATON ROUGE,2257673228,81,Type III ,Open,6 W To 12 Y,Monday From: 06:30 To: 18:00 / Tuesday From: 06:30 To: 18:00 / Wednesday From: 06:30 To: 18:00 / Thursday From: 06:30 To: 18:00 / Friday From: 06:30 To: 18:00,Janet Payne,Annisa Bazley
9379,"Troylynn's Tiny Treasures Daycare and Preschool, LLC",1552 Avenue A,Marrero,JEFFERSON,5043417111,38,Type III ,Open,4 M To 8 Y,Monday From: 07:00 To: 17:00 / Tuesday From: 07:00 To: 17:00 / Wednesday From: 07:00 To: 17:00 / Thursday From: 07:00 To: 17:00 / Friday From: 07:00 To: 17:00,Troylynn Brown,
9384,Kids Only II Of Lafayette,700 La Neuville Rd,Lafayette,LAFAYETTE,3378372127,103,Type III ,Open,6 W To 12 Y,Monday From: 06:30 To: 18:00 / Tuesday From: 06:30 To: 18:00 / Wednesday From: 06:30 To: 18:00 / Thursday From: 06:30 To: 18:00 / Friday From: 06:30 To: 18:00,Stephanie Primeaux; Michelle Foote,
9393,St. Anthony of Padua Catholic School Daycare,4601 Cleveland Ave,New Orleans,ORLEANS,5044888510,46,Type I ,Open,22 M To 64 M,Monday From: 07:45 To: 17:00 / Tuesday From: 07:45 To: 17:00 / Wednesday From: 07:45 To: 17:00 / Thursday From: 07:45 To: 17:00 / Friday From: 07:45 To: 17:00,Catherine  Papia,
9436,Kids Unlimited,717 Winfield Road,Haughton,BOSSIER,3189490171,60,Type III ,Open,4 Y To 17 Y,Monday From: 06:00 To: 18:00 / Tuesday From: 06:00 To: 18:00 / Wednesday From: 06:00 To: 18:00 / Thursday From: 18:00 To: 18:00 / Friday From: 06:00 To: 18:00,Andrea Parks,Dianne Farr
9468,Nettles Academy,105 Jules Ave,Jefferson,JEFFERSON,5048321044,71,Type III ,Open,6 W To 9 Y,Monday From: 06:15 To: 19:30 / Tuesday From: 06:15 To: 19:30 / Wednesday From: 06:15 To: 19:30 / Thursday From: 06:15 To: 19:30 / Friday From: 06:15 To: 19:30,Ayango Nettles,Kendra Jones
9508,Silliman Institute Daycare,10830 Bank St,Clinton,EAST FELICIANA,2256835383,41,Type I ,Open,6 W To 12 Y,Monday From: 07:30 To: 17:00 / Tuesday From: 07:30 To: 17:00 / Wednesday From: 07:30 To: 17:00 / Thursday From: 07:30 To: 17:00 / Friday From: 19:30 To: 17:00,Jennifer Madsen,
9587,A & A Daycare Learning Center,61042 Bennett Rd,Amite,TANGIPAHOA,9857471715,41,Type III ,Open,6 W To 17 Y,Monday From: 06:00 To: 18:00 / Tuesday From: 06:00 To: 18:00 / Wednesday From: 06:00 To: 18:00 / Thursday From: 06:00 To: 18:00 / Friday From: 06:00 To: 18:00,Shanedda Jackson,
9679,Quad Area Head Start (Jackson),3531 Cottage Street,Jackson,EAST FELICIANA,2256342813,229,Type III ,Open,3 Y To 13 Y,Monday From: 07:30 To: 15:30 / Tuesday From: 07:30 To: 15:30 / Wednesday From: 07:30 To: 15:30 / Thursday From: 07:30 To: 15:30 / Friday From: 07:30 To: 15:30,Monica Griffin,
9696,Hollie Hobby Daycare Center,301 Aimee Dr,Carencro,LAFAYETTE,3378963265,172,Type I ,Open,6 M To 12 Y,Monday From: 06:30 To: 18:00 / Tuesday From: 06:30 To: 18:00 / Wednesday From: 06:30 To: 18:00 / Thursday From: 06:30 To: 18:00 / Friday From: 06:30 To: 18:00,Crystal Gotch; Brandi Dauphine,
9730,Shelia's Kiddie Cottage,4349 General Meyer Ave,New Orleans,ORLEANS,5043931940,39,Type III ,Open,6 W To 12 Y,Monday From: 07:00 To: 16:30 / Tuesday From: 07:00 To: 16:30 / Wednesday From: 07:00 To: 16:30 / Thursday From: 07:00 To: 16:30 / Friday From: 07:00 To: 16:30,Sheila Green; John Green; shelia green,
9844,The Early Learning Center of Ponchatoula,1698 Saint Patricks Blvd,Ponchatoula,TANGIPAHOA,9853865439,111,Type III ,Open,6 W To 11 Y,Monday From: 06:00 To: 18:00 / Tuesday From: 06:00 To: 18:00 / Wednesday From: 06:00 To: 18:00 / Thursday From: 06:00 To: 18:00 / Friday From: 06:00 To: 18:00,Kelly Boudreaux; Penny DuVernay,
9846,"Caddo Community Action Agency-Alphonse Jackson, Jr. Early Head Start",2600  Martin Luther King,Shreveport,CADDO,3186291900,119,Type III ,Open,6 W To 3 Y,Monday From: 07:30 To: 16:00 / Tuesday From: 07:30 To: 16:00 / Wednesday From: 07:30 To: 16:00 / Thursday From: 07:30 To: 16:00 / Friday From: 07:30 To: 16:00,Servitra Godwin,
9885,St. Louis King of France Catholic School,1600 Carrollton Ave,Metairie,JEFFERSON,5048338224,251,Type I ,Open,6 W To 3 Y,Monday From: 07:30 To: 18:00 / Tuesday From: 07:30 To: 18:00 / Wednesday From: 07:30 To: 18:00 / Thursday From: 07:30 To: 18:00 / Friday From: 07:30 To: 18:00,Danielle Neyrey,
9991,East Bank Head Start,13292 River Rd,Destrehan,ST. CHARLES,9857647535,167,Type III ,Open,2 Y To 5 Y,Monday From: 08:35 To: 15:45 / Tuesday From: 08:35 To: 15:45 / Wednesday From: 08:35 To: 15:45 / Thursday From: 08:35 To: 15:45 / Friday From: 08:35 To: 15:45,Nicole Weber,Jessica  Gardere; Kim Butler; Kelisha Washington
10044,First Steps Development Center,503 N Walnut St,Opelousas,ST. LANDRY,3379431900,44,Type III ,Open,6 W To 12 Y,Monday From: 06:30 To: 23:59 / Tuesday From: 06:30 To: 23:59 / Wednesday From: 06:30 To: 23:59 / Thursday From: 06:30 To: 23:59 / Friday From: 06:30 To: 23:59,Deadra Smith,Elizabeth Fourtunia
10120,Kidz Connection Daycare and Youth Camp Inc,12412 La Hwy 696,Abbeville,VERMILION,3378989538,75,Type II ,Open,4 Y To 12 Y,Monday From: 06:30 To: 17:30 / Tuesday From: 06:30 To: 05:30 / Wednesday From: 06:30 To: 17:30 / Thursday From: 06:30 To: 17:30 / Friday From: 06:30 To: 17:30,christina hebert,bobbie johnson
10141,Terrebonne Parish-Holy Rosary Head Start,121 Rosary St,Houma,TERREBONNE,9855807227,34,Type III ,Open,3 Y To 5 Y,Monday From: 08:00 To: 16:00 / Tuesday From: 08:00 To: 16:00 / Wednesday From: 08:00 To: 16:00 / Thursday From: 08:00 To: 16:00 / Friday From: 08:00 To: 16:00,Sofie Arceneaux,
10196,Kidz Klub House Slidell,688 E I 10 Service Rd,Slidell,ST. TAMMANY,9857818984,162,Type III ,Open,6 W To 12 Y,Monday From: 06:30 To: 18:00 / Tuesday From: 06:30 To: 18:00 / Wednesday From: 06:30 To: 18:00 / Thursday From: 06:30 To: 18:00 / Friday From: 06:30 To: 18:00,Tonya  Rogillio ; Amanda Garber,
10236,Creative Learning Preschool and Childcare Center Inc,201 Perard St,Lafayette,LAFAYETTE,3379819999,153,Type III ,Open,6 W To 12 Y,Monday From: 06:45 To: 17:30 / Tuesday From: 06:45 To: 17:30 / Wednesday From: 06:45 To: 17:30 / Thursday From: 06:45 To: 17:30 / Friday From: 06:45 To: 17:30,Maranda Hart,Kerri Reynaud
10250,Rayne Early Childhood Program,3900 Saint Charles Ave,New Orleans,ORLEANS,5048993595,141,Type III ,Open,6 W To 7 Y,Monday From: 07:30 To: 17:30 / Tuesday From: 07:30 To: 17:30 / Wednesday From: 07:30 To: 17:30 / Thursday From: 07:30 To: 17:30 / Friday From: 07:30 To: 17:30,Teresa Magee,Lavinya Veals; Brittanie Brown
10259,University of Louisiana Lafayette Child Development Center,160 East Lewis Streeet,Lafayette,LAFAYETTE,3374825739,131,Type III ,Open,1 Y To 7 Y,Monday From: 07:15 To: 17:15 / Tuesday From: 07:15 To: 17:15 / Wednesday From: 07:15 To: 17:15 / Thursday From: 07:15 To: 17:15 / Friday From: 07:15 To: 00:45,Susan Arceneaux,Kiristy Joseph; Toni Duhon
10284,The Early Childhood Development and Family Center of Avoyelles,334 Longfellow Rd,Mansura,AVOYELLES,3182408898,149,Type III ,Open,6 W To 15 Y,Monday From: 06:00 To: 18:00 / Tuesday From: 06:00 To: 18:00 / Wednesday From: 06:00 To: 18:00 / Thursday From: 06:00 To: 18:00 / Friday From: 06:00 To: 18:00,Evelyn McCrea,Jessica Arnouville
10293,"Lil Angel Daycare, LLC",1024 Lagneaux Rd,Duson,LAFAYETTE,3379930101,70,Type III ,Open,6 W To 12 Y,Monday From: 06:30 To: 18:00 / Tuesday From: 06:30 To: 18:00 / Wednesday From: 06:30 To: 18:00 / Thursday From: 06:30 To: 18:00 / Friday From: 06:30 To: 18:00,Eula  Smith; Angel Lopez,
10332,Close To Home Daycare,631 E Vermilion St,Lafayette,LAFAYETTE,3372374004,89,Type III ,Open,6 W To 15 Y,Monday From: 06:30 To: 17:30 / Tuesday From: 06:30 To: 17:30 / Wednesday From: 06:30 To: 17:30 / Thursday From: 06:30 To: 17:30 / Friday From: 06:30 To: 17:30,Rori Brooks; Tyne Brooks,
10346,A Plus Daycare and Learning Center,201 Catalon Ave.,Maurice,VERMILION,3378937887,99,Type III ,Open,6 W To 12 Y,Monday From: 06:00 To: 18:00 / Tuesday From: 06:00 To: 18:00 / Wednesday From: 06:00 To: 18:00 / Thursday From: 06:00 To: 18:00 / Friday From: 06:00 To: 18:00,Phyllis Johnson,Courtney Heenan
10362,St. Anne's Child Care Center and Preschool,202 E Thompson St,New Iberia,IBERIA,3373672770,123,Type III ,Open,6 W To 12 Y,Monday From: 06:45 To: 17:30 / Tuesday From: 06:45 To: 17:30 / Wednesday From: 06:45 To: 17:30 / Thursday From: 06:45 To: 17:30 / Friday From: 06:45 To: 17:30,Eve Talley; Crystal Gautreau,Kendra Barideaux
10422,Star Point Child Development Center,1433 Airline Dr,Bossier City,BOSSIER,3187464530,90,Type III ,Open,6 W To 12 Y,Monday From: 06:00 To: 17:30 / Tuesday From: 06:00 To: 17:30 / Wednesday From: 06:00 To: 17:30 / Thursday From: 06:00 To: 17:30 / Friday From: 06:00 To: 17:30,Charlotte Golden; Karry Moore,
10451,Imagination Station Childcare and Learning Center,10912 Joor Rd,Baton Rouge,EAST BATON ROUGE,2252624481,86,Type III ,Open,6 W To 12 Y,Monday From: 06:30 To: 18:00 / Tuesday From: 06:30 To: 18:00 / Wednesday From: 06:30 To: 18:00 / Thursday From: 06:30 To: 18:00 / Friday From: 06:30 To: 18:00,Shari Gardner,
10497,St. Francisville United Methodist Church Early Leaning Center,9856 Royal Street,St. Francisville,WEST FELICIANA,2257840024,47,Type III ,Open,6 W To 5 Y,Monday From: 06:30 To: 17:30 / Tuesday From: 06:30 To: 17:30 / Wednesday From: 06:30 To: 17:30 / Thursday From: 06:30 To: 17:30 / Friday From: 06:30 To: 17:30,Niki Mills,
