Type,License #,Name,Address,City,Zip,Phone,Email,Ages Served,Total Capacity,Capacity Under 3,Expiration Date,Legal Operator (LO),Address (LO),City (LO),Zip (LO)
Child Care Center,DCCC.13946,CREATING KIDS AT THE CT CHILDREN'S MUSEUM,22 WALL ST,NEW HAVEN,06511-6528,203-789-1622,director@thechildrensbuilding.org,6 weeks-5 years,48,16,6/30/25,THE CONNECTICUT CHILDREN'S MUSEUM INC,22 WALL STREET,NEW HAVEN,06510
Child Care Center,DCCC.13947,CAROUSEL PRESCHOOL,23 FRANCE ST,NORWALK,06851-3804,203-847-1276,Tara.abate4@gmail.com,6 weeks-10 years,124,64,3/31/29,CAROUSEL PRESCHOOL LLC,23 FRANCE ST,NORWALK,06851-3804
Child Care Center,DCCC.13951,KINDERCARE LEARNING CENTER #070279,197 SCOTT SWAMP RD,FARMINGTON,06032-3149,860-676-8298,ahallenbeck@kindercare.com,6 weeks-10 years,88,48,2/28/29,KINDERCARE EDUCATION LLC,5005 MEADOWS RD STE 200,LAKE OSWEGO,97035-4288
Child Care Center,DCCC.13953,ST MARK'S PRESCHOOL,111 OENOKE RDG,NEW CANAAN,06840-4105,203-972-7888,pspitz@smpnc.org,18 months-5 years,68,8,3/31/29,ST MARK'S EPISCOPAL CHURCH,111 OENOKE RIDGE,NEW CANAAN,06840
Child Care Center,DCCC.13954,TUNXIS CTC EARLY CHILDHOOD CENTER,271 SCOTT SWAMP RD,FARMINGTON,06032-3324,860-773-1350,dcollins@txcc.commnet.edu,3 years-6 years,32,0,3/31/25,TUNXIS COMMUNITY  COLLEGE,271 SCOTT SWAMP ROAD,FARMINGTON,06032
Child Care Center,DCCC.13969,FIRST CHURCH OF CHRIST PRESCHOOL,250 MAIN ST,WETHERSFIELD,06109-1826,860-529-1575,lisar@firstchurch.org,3 years-5 years,87,0,4/30/29,FIRST CHURCH OF CHRIST,250 MAIN STREET,WETHERSFIELD,06109
Child Care Center,DCCC.13979,LIL CRITTERS PRESCHOOL,10 LEWIS ST,NORWALK,06851-4704,203-847-4220,Galc5310@gmail.com,6 weeks-10 years,80,24,4/30/29,LIL CRITTERS PRESCHOOL INC,10 PARK STREET,NORWALK,06851
Child Care Center,DCCC.13981,CHAPMAN Y - LATCH KEY CENTER,38 COUNTRY CLUB ROAD,CHESHIRE,06410,203-272-3150,lzaborowski@sccymca.org,5 years-12 years,69,0,4/30/29,SOUTHINGTON CHESHIRE COMM YMCA,967 S MAIN ST,CHESHIRE,06410-3418
Child Care Center,DCCC.13982,COLCHESTER KIDS,224 NORWICH AVE,COLCHESTER,06415-1227,860-537-6688,COLCHESTERKIDS@YAHOO.COM,3 years-12 years,40,0,5/31/29,COLCHESTER KIDS INC DAY SCHOOL,224 NORWICH AVENUE,COLCHESTER,06415
Child Care Center,DCCC.13985,STRTFD YMCA C C PROG@ STRTFD ACAD/JOHNSON HOUSE,719 BIRDSEYE ST,STRATFORD,06615-6827,203-375-5844,mbernardo@cccymca.org,5 years-12 years,42,0,4/30/29,CENTRAL CONNECTICUT COAST YMCA,1240 CHAPEL STREET,NEW HAVEN,06511
Child Care Center,DCCC.13987,TEAM - EGAN CENTER,35 MATTHEWS ST,MILFORD,06460-5065,203-877-2849,Jpeterson@teaminc.org,3 years-5 years,20,0,4/30/29,TEAM INC,30 ELIZABETH STREET,DERBY,06418
Child Care Center,DCCC.13992,WALLINGFORD YMCA COOK HILL SCHOOL,57 HALL RD,WALLINGFORD,06492-3414,203-269-4497,ewalter@wallingfordymca.org,3 years-9 years,54,0,3/31/29,YOUNG MENS CHRISTIAN ASSOCIATION OF WALLINGFORD INC.,81 S ELM ST,WALLINGFORD,06492-4703
Child Care Center,DCCC.13993,WALLINGFORD YMCA MOSES Y BEACH SCHOOL,340 NORTH MAIN STREET- MOSES BEACH SCHOOL,WALLINGFORD,06492,203-269-4497,ewalter@wallingfordymca.org,3 years-9 years,53,0,3/31/29,YOUNG MENS CHRISTIAN ASSOCIATION OF WALLINGFORD INC.,81 S ELM ST,WALLINGFORD,06492-4703
Child Care Center,DCCC.13998,EARLY CHILDHOOD DEVELOPMENT CENTER NEW LONDON,7 VAUXHALL ST,NEW LONDON,06320-5711,860-437-4550,reichartl@childandfamilyagency.org,6 weeks-5 years,71,16,6/30/25,CHILD & FAMILY AGENCY OF SOUTHEASTERN CT INC,255 HEMPSTEAD STREET,NEW LONDON,06320
Child Care Center,DCCC.14007,CHILD WORKS PRE-SCHOOL,3 GARVIN ST,NEW LONDON,06320-5613,860-443-4462,childworkspreschool@shilohnlcomplex.org,3 years-12 years,20,0,8/31/25,SHILOH DEVELOPMENT CORP INC,3 GARVIN STREET,NEW LONDON,06320
Child Care Center,DCCC.14021,JOAN MELBER WARBURG EARLY CHILDHOOD,22 BRIDGE ST,GREENWICH,06830-5238,203-629-2822,chogan@familycenters.org,6 weeks-5 years,53,53,9/30/25,FAMILY CENTERS INC,40 ARCH ST,GREENWICH,06830-6525
Child Care Center,DCCC.14022,KINDERCARE LEARNING CENTER #070292,1260 WINSTED RD,TORRINGTON,06790-2940,860-496-8687,cdangonini@kindercare.com,6 weeks-12 years,88,39,9/30/25,KINDERCARE EDUCATION LLC,5005 MEADOWS RD STE 200,LAKE OSWEGO,97035-4288
Child Care Center,DCCC.14048,ST MARK'S DAY CARE,368 NEWFIELD AVE # 70,BRIDGEPORT,06607-2217,203-335-3828,admin@smdcc.org,6 weeks-12 years,198,48,1/31/26,ST MARK'S DAY CARE CENTER INC,368-70  NEWFIELD AVENUE,BRIDGEPORT,06610
Child Care Center,DCCC.14049,DUCK POND DAY CARE- BRANFORD,30 JEFFERSON RD,BRANFORD,06405-4110,203-481-8170,duckpondlearningcenter@gmail.com,6 weeks-12 years,64,28,11/30/25,DUCK POND DAY CARE OF BRANFORD INC,30  JEFFERSON ROAD,BRANFORD,06405
Child Care Center,DCCC.14052,REGION 15BAS PROGRAM -GAINFIELD ELEM SCHOOL,307 OLD FIELD RD,SOUTHBURY,06488-2282,203-262-1020,leslie.srq89@gmail.com,5 years-12 years,83,0,1/31/26,NEST DAY CARE & LEARNING CENTER INC,129 WHEELER ROAD,MIDDLEBURY,06762
Child Care Center,DCCC.14055,REG 15 BAS PROG MIDDLEBURY ELEM SCHOOL,WHITTEMORE ROAD- MIDDLEBURY ELEM SCHOOL,MIDDLEBURY,06762,203-598-7625,leslie.srq89@gmail.com,5 years-11 years,50,0,1/31/26,NEST DAY CARE & LEARNING CENTER INC,6 DANA DR,OLD SAYBROOK,06475-2528
Child Care Center,DCCC.14058,EDADVANCE BASES ANN ANTOLINI,30 ANTOLINI RD,NEW HARTFORD,06057-3326,860-605-7735,viscariello@edadvance.org,5 years-12 years,210,0,3/31/26,EDADVANCE,PO BOX 909,LITCHFIELD,06759-0909
Child Care Center,DCCC.14059,TRUMBULL LOVES CHILDREN - DANIELS FARM,710 DANIELS FARM ROAD,TRUMBULL,06611,203-666-9272,cgordon@tlctrumbull.com,5 years-13 years,50,0,6/30/26,TRUMBULL LOVES CHILDREN INC,720 DANIELS FARM ROAD,TRUMBULL,06611-6338
Child Care Center,DCCC.14060,TRUMBULL LOVES CHILDREN-MIDDLEBROOK,220 MIDDLEBROOKS AVENUE,TRUMBULL,06611,203-666-9722,cgordon@tlctrumbull.com,5 years-12 years,69,0,6/30/26,TRUMBULL LOVES CHILDREN INC,720 DANIELS FARM ROAD,TRUMBULL,06611-6338
Child Care Center,DCCC.14061,WESLEY LEARNING CENTER,92 CHURCH HILL ROAD,SANDY HOOK,06482,203-426-6149,Director@wesleylearningcenter.org,2 years-6 years,70,10,11/30/28,NEWTOWN UNITED METHODIST CHURCH,92 CHURCH ROAD,SANDY HOOK,06482
Child Care Center,DCCC.14065,CHILD LINK- JENNINGS SCHL PTA- SACC AFT SCHL PGM,31 PALM DR,FAIRFIELD,06825-3225,203-372-7745,pdchildlink@gmail.com,5 years-13 years,65,0,6/30/26,JENNINGS SCHOOL PTA-FAIRFIELD CT INC,31 PALM DRIVE,FAIRFIELD,06825
Child Care Center,DCCC.14066,DAY CARE CENTER OF NEW CANAAN,156 SOUTH AVE,NEW CANAAN,06840-5748,203-966-9247,sue0317@aol.com,3 years-11 years,90,0,5/31/26,DAY CARE CENTER OF NEW CANAAN INC,156 SOUTH AVENUE,NEW CANAAN,06840
Child Care Center,DCCC.14073,POLK AFTER SCHOOL CHILD CARE PROGRAM,437 BUCKINGHAM ST,OAKVILLE,06779-1131,860-274-4820,adubois@waterburyymca.org,5 years-12 years,25,0,1/31/26,WATERBURY YMCA ASSOCIATION,136 W MAIN ST,WATERBURY,06702-2005
Child Care Center,DCCC.14076,TRINITY COLLEGE COMM CHILD CENTER- CAMPUS CARE,300 SUMMIT ST,HARTFORD,06106-3100,860-297-5374,admin@tc4.org,3 years-5 years,38,0,3/31/26,TRINITY COLLEGE COMMUNITY CHILD CENTER,300 SUMMIT STREET,HARTFORD,06106
Child Care Center,DCCC.14078,WALLINGFORD YMCA PONDHILL SCHOOL,299 POND HILL ROAD- POND HILL SCHOOL,WALLINGFORD,06492,203-265-7776,pondhill@wallingfordymca.org,5 years-12 years,108,0,3/31/26,YOUNG MENS CHRISTIAN ASSOCIATION OF WALLINGFORD INC.,81 S ELM ST,WALLINGFORD,06492-4703
Child Care Center,DCCC.14092,GREATER WATERBURY YMCA @ JUDSON SCHOOL,124 HAMILTON LN,WATERTOWN,06795-2405,860-274-4820,adubois@Waterburyymca.org,5 years-12 years,88,0,1/31/26,WATERBURY YMCA ASSOCIATION,136 W MAIN ST,WATERBURY,06702-2005
Child Care Center,DCCC.14097,WALLINGFORD YMCA HIGHLAND SCHOOL,200 HIGHLAND AVENUE- HIGHLAND SCHOOL,WALLINGFORD,06492,203-265-7777,ewalter@wallingfordymca.org,3 years-9 years,48,0,3/31/26,YOUNG MENS CHRISTIAN ASSOCIATION OF WALLINGFORD INC.,81 S ELM ST,WALLINGFORD,06492-4703
Child Care Center,DCCC.14100,NATHAN HALE BEFORE/AFTER SCHOOL PROGRAM,277 ATKINS STREET EXT,MERIDEN,06450-3405,475-775-4902,rfernandez@womenfamilies.org,6 years-12 years,40,0,4/30/26,WOMEN AND FAMILIES CENTER,169 COLONY STREET,MERIDEN,06450
Child Care Center,DCCC.14107,CORNERSTONE EARLY LEARNING CENTER,718 WEST AVE,NORWALK,06850-3302,203-831-8349,CELC718@yahoo.com,6 weeks-5 years,49,30,4/30/26,CORNERSTONE COMMUNITY CHURCHINC A UNITED METHODIST CHURCH,718 WEST AVENUE,NORWALK,06850
Child Care Center,DCCC.14115,YMCA SCHOOL AGE - JOEL SCHOOL,137A GLENWOOD RD,CLINTON,06413-1425,860-304-2691,bbruno@vsymca.org,5 years-12 years,60,0,4/30/26,VALLEY SHORE YMCA,201 SPENCER PLAINS ROAD,WESTBROOK,06498
Child Care Center,DCCC.14134,REG 15 BAS PROG- POMPERAUG EL SCHOOL,607 MAIN ST S,SOUTHBURY,06488-4218,203-262-8160,leslie.srq89@gmail.com,5 years-11 years,67,0,4/30/26,NEST DAY CARE & LEARNING CENTER INC,129 WHEELER ROAD,MIDDLEBURY,06762
Child Care Center,DCCC.14135,TEDDY BEAR CORNER,273 VILLA AVE,FAIRFIELD,06825-1944,203-330-0302,office@teddybearcorner.com,3 years-5 years,30,0,6/30/26,TEDDY BEAR CORNER INC,273 VILLA AVENUE,FAIRFIELD,06825
Child Care Center,DCCC.14136,LITTLE NURSERY SCHOOL,685 OLD POST RD,TOLLAND,06084-2830,860-871-2241,edsue@cox.net,3 years-5 years,57,0,11/30/28,SATKIEWICZ SUSAN,9 Buchanan Road,Enfield,06082
Child Care Center,DCCC.14143,CHILDREN'S CENTER OF COS COB,300 BOSTON POST ROAD- COS COB SCHOOL,GREENWICH,06807,203-625-5569,Maricela_Gonzalez@greenwich.k12.ct.us,5 years-12 years,75,0,10/31/28,CHILDREN'S CENTER OF COS COB INC,PO BOX 48,COS COB,06807
Child Care Center,DCCC.14163,TORRINGTON CHILD CARE CENTER,338 KENNEDY DR,TORRINGTON,06790-3091,860-482-2621,mary@torringtonchildcare.org,3 years-8 years,48,0,12/31/28,TORRINGTON CHILD CARE CENTER INC,338 KENNEDY DRIVE,TORRINGTON,06790
Child Care Center,DCCC.14165,GREAT BEGINNINGS- EAST STREET,195 EAST STREET,PLAINVILLE,06062,860-747-1679,gbeginnings@msn.com,2 years-12 years,106,8,1/31/29,KAREN C SHACKFORD,214 RIDGE ROAD,WETHERSFIELD,06109
Child Care Center,DCCC.14169,KINDERCARE LEARNING CENTER #070294,555 LONG WHARF DR,NEW HAVEN,06511-6107,203-865-0020,magalligan@kindercare.com,6 weeks-10 years,80,41,6/30/25,KINDERCARE EDUCATION LLC,5005 MEADOWS RD STE 200,LAKE OSWEGO,97035-4288
Child Care Center,DCCC.14175,WALLINGFORD COMMUNITY DAY CARE,80 WHARTON BROOK DR,WALLINGFORD,06492-4840,203-294-4176,wallingforddaycare@gmail.com,6 weeks-12 years,135,32,2/28/29,WALLINGFORD COMMUNITY DAY CARE INC,80 WHARTON BROOK DRIVE,WALLINGFORD,06492
Child Care Center,DCCC.14182,WALLINGFORD FAMILY YMCA- ROCK HILL,910 OLD ROCK ROAD,WALLINGFORD,06492,203-269-4497,ewalter@wallingfordymca.org,5 years-9 years,40,0,3/31/29,YOUNG MENS CHRISTIAN ASSOCIATION OF WALLINGFORD INC.,81 S ELM ST,WALLINGFORD,06492-4703
Child Care Center,DCCC.14186,TRUMBULL LOVES CHILDREN - JANE RYAN,190 PARK LANE,TRUMBULL,06611,203-666-9556,cgordon@tlctrumbull.com,5 years-11 years,77,0,3/31/29,TRUMBULL LOVES CHILDREN INC,720 DANIELS FARM ROAD,TRUMBULL,06611-6338
Child Care Center,DCCC.14192,ROOM TO GROW- LITCHFIELD,405A BANTAM RD,LITCHFIELD,06759-3327,860-567-8422,judydelo1@gmail.com,6 weeks-13 years,74,40,3/31/29,ROOM TO GROW INC,405A BANTAM RD,LITCHFIELD,06759-3327
Child Care Center,DCCC.14195,THE WILTON FAMILY YMCA PRESCHOOL,404 DANBURY RD,WILTON,06897-2005,203-762-8384,kfejes@riverbrookymca.org,3 years-12 years,78,0,1/31/29,RIVERBROOK REGIONAL YOUNG MENS CHRISTIAN ASSOCIATION INC (THE),404 DANBURY RD,WILTON,06897-2005
Child Care Center,DCCC.14201,EARLY CHILDHOOD EDUCATION LAB SCHOOL AT NAUGATUCK VALLEY,750 CHASE PKWY,WATERBURY,06708-3011,203-596-8604,laura.petrakopoulos@ctstate.edu,12 months-6 years,48,8,2/28/29,NAUGATUCK VALLEY COMMUNITY COLLEGE,750 CHASE PARKWAY,WATERBURY,06708
Child Care Center,DCCC.14215,JORDAN PRE-SCHOOL AND DAY CARE,430 MARGARET HENRY RD,STERLING,06377-1510,860-774-1881,jordanpreschool@atlanticbbn.net,3 years-12 years,21,0,3/31/29,DIANNE JORDAN,430 MARGARET HENRY ROAD,STERLING,06377
Child Care Center,DCCC.14220,KIDS KORNER @ MOODY SCHOOL,300 COUNTRY CLUB RD,MIDDLETOWN,06457-2302,959-237-2866,bcarlson@midymca.org,6 years-9 years,50,0,3/31/29,NORTHERN MIDDLESEX YMCA,99 UNION ST,MIDDLETOWN,06457-3427
Child Care Center,DCCC.14222,SOUTH GLASTONBURY CONG CHURCH NURSERY SCHOOL,30 HIGH ST,SOUTH GLASTONBURY,06073-2208,860-430-6734,Teach2Kds3@aol.com,3 years-5 years,77,0,3/31/29,SOUTH GLASTONBURY CONG CHURCH BRD CHRISTIAN ED,PO BOX 187,SOUTH GLASTONBURY,06073
Child Care Center,DCCC.14224,WALLINGFORD FAMILY YMCA LEARNING COMMUNITY,112 ROSEMARY LN,WALLINGFORD,06492-3853,203-697-2723,ewalter@wallingfordymca.org,6 weeks-5 years,80,40,3/31/29,YOUNG MENS CHRISTIAN ASSOCIATION OF WALLINGFORD INC.,81 S ELM ST,WALLINGFORD,06492-4703
Child Care Center,DCCC.14239,LITTLE MUNCHKIN DAY CARE,11 ROUTE 39 N,SHERMAN,06784-1405,860-354-5125,LMDC@att.net,6 weeks-12 years,48,16,4/30/29,LITTLE MUNCHKIN DAY CARE INC,1 ROUTE 37 EAST,SHERMAN,06784
Child Care Center,DCCC.14242,BRIGHT HORIZONS CHILDREN'S CENTER- STAMFORD,300 STAMFORD PL,STAMFORD,06902-6765,203-323-1972,Melanie.billings@brighthorizons.com,6 weeks-12 years,96,56,4/30/25,BRIGHT HORIZONS CHILDREN'S CENTERS LLC,2 WELLS AVE,NEWTON CENTER,02459-3225
Child Care Center,DCCC.14243,NITZAN NURSERY SCHOOL,109 EAST AVE,NORWALK,06851-5013,203-838-6019,Nitzan@congbethel.org,18 months-5 years,34,16,5/31/29,CONGREGATION BETH EL OF NORWALK INC,109 EAST AVENUE,NORWALK,06851
Child Care Center,DCCC.14248,WOMEN'S LEAGUE CHILD DEVELOPMENT CENTER,1695 MAIN STREET,HARTFORD,06120,860-524-5969,klott@womensleaguecdc.org,3 months-5 years,210,88,5/31/29,WOMEN'S LEAGUE CHILD DEVELOPMENT CENTER INC,1695 MAIN STREET,HARTFORD,06120
Child Care Center,DCCC.14257,KINDERCARE LEARNING CENTER #070295,1445 BOSTON POST RD,GUILFORD,06437-4338,203-453-8781,070295@kindercare.com,6 weeks-13 years,88,48,6/30/25,KINDERCARE EDUCATION LLC,5005 MEADOWS RD STE 200,LAKE OSWEGO,97035-4288
Child Care Center,DCCC.14264,FIRST CONG CHURCH DAY CARE & NURSERY SCHOOL,111 CHURCH DRIVE,CHESHIRE,06410,203-699-1169,brenda@1stchurchpreschool.org,3 years-8 years,48,0,7/31/25,FIRST CONG CHURCH DAY CARE & NURSERY SCHOOL INC,111 CHURCH DRIVE,CHESHIRE,06410
Child Care Center,DCCC.14266,NORTH STONINGTON CHRISTIAN ACADEMY,12 STILLMAN RD,NORTH STONINGTON,06359-1733,860-599-5071,nscapbw@sbcglobal.net,3 years-10 years,19,0,5/31/25,SECOND BAPTIST CHURCH,12 STILLMAN ROAD,NORTH STONINGTON,06359
Child Care Center,DCCC.14271,CORNWALL CHILD CENTER,8 CREAM HILL RD,WEST CORNWALL,06796-1200,860-672-6989,amy.martinez@cornwallchildcenter.org,6 weeks-12 years,33,15,8/31/25,CORNWALL CHILD CENTER INC.,8 CREAM HILL RD,WEST CORNWALL,06796-1200
Child Care Center,DCCC.14279,YWCA BOLTON KIDSLINK,108 NOTCH RD,BOLTON,06043-7431,860-645-2245,jennag@ywcahartford.org,5 years-14 years,92,0,9/30/25,YWCA HARTFORD REGION INC,135 BROAD ST,HARTFORD,06105-3718
Child Care Center,DCCC.14287,KINDER GARDEN LEARNING CENTER,20 S BROAD TER,MERIDEN,06450-7902,203-686-1586,MeridenKGLC@hotmail.com,6 weeks-6 years,54,24,8/31/25,KINDER GARDEN LEARNING CENTER & DAY CARE INC,20 SOUTH BROAD TERRACE,MERIDEN,06450
Child Care Center,DCCC.14288,LOWER NAUGATUCK VALLEY SCHOOL EARLY CH ED,80 HOWARD AVE,ANSONIA,06401-2210,203-734-8609,jpeterson@teaminc.org,6 weeks-12 years,146,48,10/31/25,TEAM INC,30 ELIZABETH STREET,DERBY,06418
Child Care Center,DCCC.14291,DUCK POND DAY CARE- MILFORD,132 NEW HAVEN AVE,MILFORD,06460-4898,203-882-9132,milford@duckponddaycare.org,6 weeks-9 years,60,40,9/30/25,DUCK POND DAY CARE INC,170 PLATT LANE,MILFORD,06460
Child Care Center,DCCC.14299,BABY COTTAGE II,1114 HOPE ST,STAMFORD,06907-1826,203-461-9566,babycottage1986@gmail.com,6 weeks-5 years,40,32,10/31/25,BABY COTTAGE INC,1114 HOPE STREET,STAMFORD,06907
Child Care Center,DCCC.14300,THE RIVERFRONT CHILDREN'S CENTER,476 THAMES ST,GROTON,06340-3934,860-445-8151,Jennifer.zubek@riverfrontchildren.org,6 weeks-12 years,123,50,11/30/25,RIVERFRONT CHILDREN'S CENTER INC,476 THAMES ST,GROTON,06340-3934
Child Care Center,DCCC.14307,CHILD'S WORLD,1245 FAIRFIELD AVE,BRIDGEPORT,06605-1119,203-330-0801,funcreativechildren@yahoo.com,3 years-16 years,104,0,12/31/25,A CHILD'S WORLD INC,1245 FAIRFIELD AVENUE,FAIRFIELD,06605
Child Care Center,DCCC.14308,KINDERCARE LEARNING CENTER #301483,481 SPRING ST,MANCHESTER,06040-6741,860-646-1610,jessenia.santos-seda@kindercare.com,6 weeks-5 years,140,70,12/31/25,KINDERCARE EDUCATION LLC,5005 MEADOWS RD STE 200,LAKE OSWEGO,97035-4288
Child Care Center,DCCC.14318,HUDSON COUNTRY MONTESSORI SCHOOL,44A SHELTER ROCK RD,DANBURY,06810-7050,203-744-8088,megin@hudsoncountry.org,6 weeks-5 years,207,85,1/31/26,HUDSON COUNTRY MONTESSORI SCHOOL INC,44A SHELTER ROCK ROAD,DANBURY,06810
Child Care Center,DCCC.14322,BALLESTRINI DAY CARE CENTER,90 ROPE FERRY ROAD,WATERFORD,06385,860-442-2273,Ballestrini.childcare@gmail.com,2 years-12 years,45,4,4/30/26,BALLESTRINI CHILD CARE LLC,23 LINDROS LANE,WATERFORD,06385
Child Care Center,DCCC.14328,NEW HAVEN YMCA YOUTH CENTER,52 HOWE ST,NEW HAVEN,06511-4610,203-776-9622,ekelly@cccymca.org,12 months-12 years,120,16,6/30/26,CENTRAL CONNECTICUT COAST YMCA,1240 CHAPEL STREET,NEW HAVEN,06511
Child Care Center,DCCC.14338,ELIZABETH CELOTTO CHILD CARE CENTER,181 MITCHELL DR,NEW HAVEN,06511-2515,475-220-7455,rmooreevans@parentingstudents.org,6 weeks-3 years,32,32,4/30/26,STUDENT PARENTING &  FAMILY SERVICES INC,181 MITCHELL DRIVE,NEW HAVEN,06511
Child Care Center,DCCC.14342,HERE WEE GROW,330 HAZARD AVENUE,ENFIELD,06082,860-749-2458,hereweegrow@sbcglobal.net,3 years-6 years,64,0,4/30/26,HAZARDVILLE UNITED METHODIST CHURCH,330 HAZARD AVENUE,ENFIELD,06082
Child Care Center,DCCC.14345,EDADVANCE BASES BARKHAMSTED ELEMENTARY,67 RIPLEY HILL RD,PLEASANT VALLEY,06063-3329,860-567-0863,viscariello@edadvance.org,5 years-12 years,30,0,4/30/26,EDADVANCE,PO BOX 909,LITCHFIELD,06759-0909
Child Care Center,DCCC.14346,CALVARY NURSERY SCHOOL,27 CHURCH ST,STONINGTON,06378-1344,860-535-0398,nurseryschool@calvarychurchstonington.org,3 years-5 years,30,0,4/30/26,CALVARY EPISCOPAL CHURCH,27 CHURCH STREET,STONINGTON,06378
Child Care Center,DCCC.14366,ROOM TO GROW- NORWALK,208 EAST AVE,NORWALK,06855-1208,203-831-8200,Nowens@ccfc-ct.org,3 years-15 years,143,0,3/31/26,CATHOLIC CHARITIES OF FAIRFIELD COUNTY INC,208 EAST AVENUE,NORWALK,06855
Child Care Center,DCCC.14369,GUILFORD BEFORE & AFTER SCHOOL PROGRAM - COX,143 THREE MILE CRSE,GUILFORD,06437-2522,203-458-3746,guilfordbasc@gmail.com,6 years-12 years,80,0,5/31/26,GUILFORD CENTER FOR CHILDREN INC,280 SOUTH UNION STREET,GUILFORD,06437
Child Care Center,DCCC.14370,GUILFORD BEFORE & AFTER SCH PROGRAM- CALVIN LEETE,280 S UNION ST,GUILFORD,06437-2825,203-453-0045,guilfordbasc@gmail.com,5 years-12 years,205,0,5/31/26,GUILFORD CENTER FOR CHILDREN INC,280 SOUTH UNION STREET,GUILFORD,06437
Child Care Center,DCCC.14371,GUILFORD BEFORE & AFTER SCHOOL PROG- G LAKES SCH,40 MAUPAS ROAD- GUILFORD LAKES SCHOOL,GUILFORD,06437,203-453-0045,guilfordbasc@gmail.com,5 years-9 years,177,0,5/31/26,GUILFORD CENTER FOR CHILDREN INC,280 SOUTH UNION STREET,GUILFORD,06437
Child Care Center,DCCC.14387,TWIN LAKE CHILDREN'S CENTER - FOREST ROAD,859 FOREST RD,NORTHFORD,06472-4405,203-484-6700,carol8615@sbcglobal.net,3 years-10 years,21,0,6/30/26,TWIN LAKE CHILDREN'S CENTER INC,859 FOREST RD,NORTHFORD,06472-4405
Child Care Center,DCCC.14388,CHESHIRE COMMUNITY YMCA CHILD CARE CENTER,967 S MAIN ST,CHESHIRE,06410-3418,203-272-3150,bgenest@sccymca.org,3 years-12 years,64,0,7/31/26,SOUTHINGTON CHESHIRE COMM YMCA,967 S MAIN ST,CHESHIRE,06410-3418
Child Care Center,DCCC.14393,HOUSATONIC CHILD CARE CENTER,30B SALMON KILL RD,SALISBURY,06068-1901,860-435-9694,housatonicchildcarecenter@gmail.com,6 weeks-6 years,59,27,6/30/26,HOUSATONIC CHILD CARE CENTER INC,30B SALMON KILL ROAD,SALISBURY,06068
Child Care Center,DCCC.14395,GREAT EXPECTATIONS DAY CARE & LEARNING CENTER,1235 SOUTHFORD RD,SOUTHBURY,06488-2478,203-262-8554,great.expectations@sbcglobal.net,6 weeks-3 years,26,16,7/31/26,GREAT EXPECTATIONS DAY CARE & LNG CTR LLC,1225 SOUTHFORD ROAD,SOUTHBURY,06488
Child Care Center,DCCC.14402,CORNERSTONE CHILDREN'S CENTER,16 HICKORY ST,TRUMBULL,06611-3514,203-261-0499,contact@cornerstonekids.com,6 weeks-12 years,64,32,9/30/26,HICKORY TREE LLC,16 HICKORY STREET,TRUMBULL,06611
Child Care Center,DCCC.14413,FALLS VILLAGE DAY CARE CENTER,35 PAGE RD,FALLS VILLAGE,06031-1111,860-824-0882,fvdccdirector@gmail.com,6 weeks-12 years,43,24,10/31/28,FALLS VILLAGE DAY CARE CENTER INC,35 PAGE RD,FALLS VILLAGE,06031-1111
Child Care Center,DCCC.14425,ALLIANCE FOR CMTY EMPOWERMENT- INNER CITY CHILDREN'S CTR,1070 PARK AVE,BRIDGEPORT,06604-3400,203-366-8241,bperry@alliancect.org,6 weeks-5 years,240,16,12/31/28,ALLIANCE FOR COMMUNITY EMPOWERMENT INC.,1070 PARK AVENUE,BRIDGEPORT,06604
Child Care Center,DCCC.14427,CASTLE,396 HALLS HILL RD,COLCHESTER,06415-1452,860-537-0214,Kim@castlekid.org,3 years-14 years,138,0,12/31/28,CASTLE INC,396 HALLS HILL RD,COLCHESTER,06415-1452
Child Care Center,DCCC.14430,NEW ENGLAND COUNTRY DAY SCHOOL,27 KENOSIA AVE,DANBURY,06810-7364,203-798-1964,necdsdirector@gmail.com,6 weeks-12 years,88,40,11/30/28,NEW ENGLAND COUNTRY DAY SCHOOL INC,27 KENOSIA AVENUE,DANBURY,06810
Child Care Center,DCCC.14444,KIDS KORNER @ SPENCER SCHOOL,207 WESTFIELD ST,MIDDLETOWN,06457-2042,959-237-2869,bcarlson@midymca.org,5 years-12 years,50,0,2/28/29,NORTHERN MIDDLESEX YMCA,99 UNION ST,MIDDLETOWN,06457-3427
Child Care Center,DCCC.14445,CREATIVE DEVELOPMENT DAY CARE,6961 MAIN ST,TRUMBULL,06611-1335,203-268-1106,creativedevelopment@hotmail.com,6 weeks-12 years,54,26,2/28/29,CREATIVE DEVELOPMENT DAY CARE LLC,6961 MAIN STREET,TRUMBULL,06611
Child Care Center,DCCC.14448,TRUMBULL LOVES CHILDREN - TASHUA,401 STONEHOUSE RD,TRUMBULL,06611-1651,203-666-9749,cgordon@tlctrumbull.com,5 years-11 years,75,0,8/31/25,TRUMBULL LOVES CHILDREN INC,720 DANIELS FARM ROAD,TRUMBULL,06611-6338
Child Care Center,DCCC.14454,EDADVANCE BASES TORRINGTON,800 CHARLES ST,TORRINGTON,06790-3495,860-630-0624,viscariello@edadvance.org,5 years-12 years,80,0,5/31/25,EDADVANCE,PO BOX 909,LITCHFIELD,06759-0909
