Facility Number,Facility Name,Facility Type,Better Beginnings,Address,County,Director,Owner,Phone,Email Address,Website Address,Total Allowed Capacity,Voucher Participant,CACFP Facility,ABC Facility
27306,MTN HOME ABC PRESCHOOL,Child Care Center,Level 4,"618 N College St, Mountain Home, AR, 72653-5514",Baxter,Jessie Camp,O.U.R. Cooperative,(870) 302-3100,clambe@oursc.k12.ar.us,,43,TRUE,TRUE,TRUE
27195,Huntsville Pre-K,Child Care Center,Level 4,"314 N Gaskill St, Huntsville, AR, 72740-4015",Madison,Jennifer Roach,Huntsville School District,(479) 738-2425,cdavidson@1hsd.org,huntsvilleschooldistrict.org,80,TRUE,TRUE,TRUE
26982,RIVERVIEW JUDSONIA PRESCHOOL,Child Care Center,Level 4,"1004 BROADMAN AVENUE, JUDSONIA, AR, 72081",White,Stacy Ridings,RIVERVIEW SCHOOL DISTRICT,(501) 729-5196,stacy.ridings@riverviewsd.org,,40,FALSE,TRUE,TRUE
26788,Nana's Learning Center,Licensed Child Care Family Home,Level 4,"914 W Roosevelt Rd, Little Rock, AR, 72206-2041",Pulaski,Teresa Slay,Teresa Slay,(501) 749-6939,teresa.slay@yahoo.com,,10,TRUE,TRUE,FALSE
26669,Park Elementary Preschool,Child Care Center,Level 4,"4111 PARK AVE, FORT SMITH, AR, 72903",Sebastian,Sarah Yancey,Ft. Smith Public Schools,(479) 783-4506,syancey@fortsmithschools.org,,60,TRUE,TRUE,TRUE
26630,MOUNTAINBURG PRE-K PROGRAM,Child Care Center,Level 4,"2015 LAKE FORT SMITH RD, MOUNTAINBURG, AR, 72946",Crawford,Tandi Jones,Mountainburg Public School,(479) 369-2762,tandi.jones@mountainburg.org,,40,FALSE,FALSE,TRUE
26302,CROSS COUNTY ABC PRESCHOOL,Child Care Center,Level 4,"2622 HIGHWAY 42, CHERRY VALLEY, AR, 72324",Cross,Dorothy Lester,CROWLEY'S RIDGE EDUCATIONAL COOPERATIVE,(870) 588-3337,llester@crmail.k12.ar.us,,51,TRUE,FALSE,TRUE
26201,Monitor Pre-K,Child Care Center,Level 4,"3955 E MONITOR RD, SPRINGDALE, AR, 72764",Washington,Megan Rojo,Springdale Public Schools,(479) 750-8749,mrojo@sdale.org,www.sdale.org,40,TRUE,TRUE,TRUE
26022,Dock Preschool,Child Care Center,Level 4,"807 SE 14th St, Bentonville, AR, 72712-6716",Benton,Shelly McAlister,First Christian Church,(479) 899-4888,dockandcharacterkids@fccww.org,,142,TRUE,FALSE,FALSE
25978,TATE ELEMENTARY PRESCHOOL,Child Care Center,Level 4,"406 CATCHER RD, VAN BUREN, AR, 72956",Crawford,Robert Childers,Van Buren School District 42,(479) 471-3130,rchilders@vbsd.us,,80,FALSE,FALSE,TRUE
25966,His House Children's Learning Center and Preschool,Child Care Center,Level 4,"4911 W PLEASANT GROVE RD, ROGERS, AR, 72758",Benton,Amy Horn,Rogers First Church Of The Nazarene Inc,(479) 636-7165,amyhorn@rogersfirst.com,www.rogersfirst.com,141,TRUE,FALSE,FALSE
25380,Walnut Farm Montessori School,Child Care Center,Level 4,"4208 E CENTRAL AVE, BENTONVILLE, AR, 72712",Benton,Anita Lynette Goss,Walnut Farm Montessori School Inc,(479) 271-9424,lynette@walnutfarm.org,walnutfarmmontessori.com,132,FALSE,FALSE,FALSE
25322,Lakeside Early Intervention,Child Care Center,Level 4,"2871 Malvern Ave, Hot Springs, AR, 71901-8321",Garland,Bambi Norman,Lakeside School District,(501) 262-1921,bambi_norman@lakesidesd.org,www.lakesidesd.org,230,TRUE,FALSE,TRUE
25250,Alpena ABC Preschool,Child Care Center,Level 4,"300 South Denver Street, Alpena, AR, 72611",Boone,Christy Tibbets,O.U.R. Cooperative,(870) 302-3100,clambe@oursc.k12.ar.us,,38,TRUE,TRUE,TRUE
25012,Dawson Co-op/Benton ABC,Child Care Center,Level 4,"536 River Street, Benton, AR, 72015",Saline,Tammy Boyette,Dawson Education Service Co-op,(501) 778-3500,tammy.boyette@dawsonesc.com,www.dawsonesc.com,100,TRUE,TRUE,TRUE
24967,Greenbrier Panther Preschool,Child Care Center,Level 4,"76 Green Valley Drive, Greenbrier, AR, 72058-9402",Faulkner,Angela Betancourt,Greenbrier Public Schools,(501) 679-1028,betancourta@greenbrierschools.org,,134,TRUE,FALSE,TRUE
24957,Dawson Co-op/Mountain Pine ABC,Child Care Center,Level 4,"690 Blakely Dam Rd, Mountain Pine, AR, 71956",Garland,Tammy Boyette,Dawson Education Service Co-op,(501) 767-2421,shastap@dawsonesc.com,www.dawson.dsc.k12.ar.us,40,TRUE,TRUE,TRUE
24955,Dawson CO-OP/Magnet Cove ABC,Child Care Center,Level 4,"472 Magnet School Rd, Malvern, AR, 72104-3590",Hot Spring,Tammy Boyette,Dawson Education Service Co-op,(501) 332-5468,tammy.boyette@dawsonesc.com,,50,TRUE,TRUE,TRUE
24951,Dawson CO-OP/Bismarck ABC,Child Care Center,Level 4,"11636 Highway 84, Bismarck, AR, 71929",Hot Spring,Leigh Ventress,Dawson Education Service Co-op,(501) 865-4888,shastap@dawsonesc.com,,43,TRUE,TRUE,TRUE
24937,Dawson Co-op/Benton Harmony Grove ABC,Child Care Center,Level 4,"2621 N Highway 229, Benton, AR, 72015",Saline,Tammy Boyette,Dawson Education Service Co-op,(501) 778-6271,tammy.boyette@dawsonesc.com,www.dawson.dsc.k12.ar.us,24,TRUE,TRUE,TRUE
24935,Dawson Co-op/Bauxite ABC,Child Care Center,Level 4,"500 Pine Haven Road, Bauxite, AR, 72011",Saline,Tammy Boyette,Dawson Education Service Co-op,(501) 557-5361,tammy.boyette@dawsonesc.com,www.dawson.dsc.k12.ar.us,20,TRUE,TRUE,TRUE
24505,Rogers Public Schools Pre-K Center,Child Care Center,Level 4,"2710 N WOODS LN, ROGERS, AR, 72756-6709",Benton,Brandi Brooks,Rogers Public School,(479) 631-3572,brandi.brooks@rpsar.net,rogersschools.net,120,TRUE,TRUE,TRUE
24443,Dierks ABC Preschool,Child Care Center,Level 4,"800 Hwy 70 West, Dierks, AR, 71833",Howard,Susie Carver,Dequeen Mena Educational Cooperative,(870) 784-0994,diana.hicks@dmesc.org,,40,FALSE,TRUE,TRUE
24258,Gibbs Elementary,Child Care Center,Level 4,"1115 West 16th Street, Little Rock, AR, 72202",Pulaski,Esther Jones,Little Rock School Board,(501) 447-4900,esther.jones@lrsd.org,,54,TRUE,TRUE,TRUE
23802,BIGELOW ABC PRESCHOOL,Child Care Center,Level 4,"2768 AR-60 E, Bigelow, AR, 72016-5034",Perry,Sarah Lee,East End School District,(501) 759-2638,slee@bigelow.k12.ar.us,,40,FALSE,FALSE,TRUE
23647,TG Smith Elementary Pre-K,Child Care Center,Level 4,"3600 FALCON RD, SPRINGDALE, AR, 72762",Washington,Megan Rojo,Springdale Public Schools,(479) 750-8846,mrojo@sdale.org,www.sdale.org,40,TRUE,TRUE,TRUE
23616,Mcneil Head Start,Child Care Center,Level 4,"820 Logoly Road, PO Box 483, Mc Neil, AR, 71752",Columbia,Tonilesa Johnson,Families And Children Together Inc.,(870) 695-3900,tecoya.johnson@fact-inc.com,,20,FALSE,TRUE,FALSE
23587,WICKES ABC PRESCHOOL,Child Care Center,Level 4,"130 SCHOOL DRIVE, WICKES, AR, 71973",Polk,Brittany Price,Dequeen Mena Educational Cooperative,(870) 385-7101,diana.hicks@dmesc.org,,39,FALSE,TRUE,TRUE
23427,Character Kids,Out of School Time,Level 4,"807 SE 14TH ST, BENTONVILLE, AR, 72712",Benton,Lauren Nichols,First Christian Church,(479) 899-4888,dockandcharacterkids@fccww.org,fccbentonville.org,139,TRUE,FALSE,FALSE
23411,Lavaca Elementary School/Preschool,Child Care Center,Level 4,"1000 S DIVISION ST, LAVACA, AR, 72941",Sebastian,Sam Slott,Lavaca School District,(479) 674-5613,jamie.patterson@lavacaschools.com,,102,TRUE,FALSE,TRUE
23104,Ward Central Pre-K,Child Care Center,Level 4,"1570 Wilson Loop, Ward, AR, 72176",Lonoke,Suzie Kelley,Cabot Public Schools,(501) 743-3569,eva.zweifel@cps.k12.ar.us,http://cabot.k12.ar.us,75,TRUE,TRUE,TRUE
23100,Fouke ABC Preschool,Child Care Center,Level 4,"290 E Redcut RD, Fouke, AR, 71837",Miller,Erica Baird,Fouke School,(870) 653-7833,julie.aaron@foukepanthers.org,,80,FALSE,FALSE,TRUE
22918,VAN COVE ABC PRESCHOOL,Child Care Center,Level 4,"122 E Adair St, Vandervoort, AR, 71972-4001",Polk,Tammy Hudson,Dequeen Mena Educational Cooperative,(479) 216-0115,kelli.parson@dmesc.org,,20,FALSE,TRUE,TRUE
22882,GREENE COUNTY TECH PRESCHOOL,Child Care Center,Level 4,"1300 SOUTH ROCKINGCHAIR ROAD, PARAGOULD, AR, 72450",Greene,Julie Morgan,GREENE COUNTY TECH SCHOOL DISTRICT,(870) 215-4470,janet.harris@gctsd.k12.ar.us,www.gctsd.k12.ar.us,220,TRUE,FALSE,TRUE
22865,ASU WYNNE ABC PRESCHOOL,Child Care Center,Level 4,"1500 LEMONS ST N, WYNNE, AR, 72396",Cross,Emily Mason,ARKANSAS STATE UNIVERSITY,(870) 208-8323,eweindel@astate.edu,,20,TRUE,TRUE,TRUE
22825,PRE-K PCSSD Oakbrooke Elementary,Child Care Center,Level 4,"2200 Thornhill, Sherwood, AR, 72120",Pulaski,Nikki Stolzer,Pulaski County Special School District,(501) 833-1190,nstolzer3086@pcssd.org,,54,FALSE,TRUE,TRUE
22824,PCSSD Cato Elementary,Child Care Center,Level 4,"9906 Jacksonville-Cato Road, Sherwood, AR, 72120",Pulaski,Tracie Mitchell,Pulaski County Special School District,(501) 833-1160,nstolzer3086@pcssd.org,,60,FALSE,TRUE,TRUE
22820,PRE- K Robinson Elementary,Child Care Center,Level 4,"21600 Highway 10, Little Rock, AR, 72223",Pulaski,Nikki Stolzer,Pulaski County Special School District,(501) 868-2420,nstolzer3086@pcssd.org,,51,FALSE,TRUE,TRUE
22723,JONESBORO PUBLIC SCHOOLS PRE-K PROGRAM,Child Care Center,Level 4,"1307 FLINT STREET, JONESBORO, AR, 72401",Craighead,Allison Clem,Jonesboro Public Schools,(870) 933-5876,allison.clem@jonesboroschools.net,,278,TRUE,TRUE,TRUE
22693,MENA PRESCHOOL 2,Child Care Center,Level 4,"106 North Reine, Mena, AR, 71953-2254",Polk,Anna Denton,Dequeen Mena Educational Cooperative,(479) 243-3813,diana.hicks@dmesc.org,,165,FALSE,TRUE,TRUE
22685,MARSHALL ABC PRESCHOOL,Child Care Center,Level 4,"100 Hickory Street, Marshall, AR, 72650",Searcy,Sami Kelley,Marshall Public Schools,(870) 448-3333,skelley@scsd.info,,83,TRUE,TRUE,TRUE
22653,ACORN PRESCHOOL,Child Care Center,Level 4,"143 Polk 96, Mena, AR, 71953",Polk,Pamela Hackworth,Dequeen Mena Educational Cooperative,(479) 216-1341,mary.wilson@dmesc.org,,70,FALSE,TRUE,TRUE
22597,East Poinsett County Pre-School,Child Care Center,Level 4,"502 McClellan Ave, Lepanto, AR, 72354-2424",Poinsett,Marla Blain,East Poinsett County School District,(870) 475-2331,scarroll@epc.k12.ar.us,,71,FALSE,FALSE,TRUE
22586,Elmdale Elementary Pre-K,Child Care Center,Level 4,"420 N WEST END ST, SPRINGDALE, AR, 72764",Washington,Megan Rojo,Springdale Public Schools,(479) 750-8859,mrojo@sdale.org,www.sdale.org,40,TRUE,TRUE,TRUE
22549,Fordyce Head Start,Child Care Center,Level 4,"104 W. College St., Fordyce, AR, 71742",Dallas,Mytara Starks,Families And Children Together Inc.,(870) 352-3333,mytara.starks@fact-inc.com,,113,FALSE,TRUE,FALSE
22548,ROSE BUD ABC SCHOOL,Child Care Center,Level 4,"124 School Rd, Rose Bud, AR, 72137-9339",White,Cheri Foster,ROSE BUD SCHOOL DISTRICT,(501) 556-5152,asanders@rbsd.k12.ar.us,rbsd.k12.ar.us,34,FALSE,TRUE,TRUE
22501,Seventh Street Elementary,Child Care Center,Level 4,"1200 E 7th St, North Little Rock, AR, 72114",Pulaski,Pamela Criss,North Little Rock School District,(501) 340-5170,crissp@nlrsd.org,,115,TRUE,TRUE,TRUE
22270,EARLY HORIZONS CHILD DEVELOPMENT CENTER,Child Care Center,Level 4,"114 Sanders St, Salem, AR, 72576-8002",Fulton,Jamie Case,EARLY HORIZONS CHILD DEVELOPMENT CENTER INC,(870) 895-3222,earlyhorizonscdc@gmail.com,,164,TRUE,TRUE,TRUE
22056,BRAD BLACK RIVER CHILD DEVELOPMENT CENTER,Child Care Center,Level 4,"1407 PATRICK DRIVE, POCAHONTAS, AR, 72455",Randolph,Kassandra Ivy,BLACK RIVER AREA DEVELOPMENT CORPORATION HEAD START,(870) 892-5112,carla.matthews@bradcorp.org,,182,TRUE,TRUE,TRUE
21889,C.S.O. Inc Head Start Center-Lake Hamilton,Child Care Center,Level 4,"248 Aldridge Road, Pearcy, AR, 71964",Garland,Mary Jean Daniel,"Community Services Office of Hot Springs and Garland County, Arkansas",(501) 760-1449,headstartdirector@csoarkansas.org,,48,TRUE,TRUE,FALSE
21808,NAPC/FLIPPIN PRESCHOOL,Child Care Center,Level 4,"145 School Ln, Flippin, AR, 72634-7913",Marion,Kimberly Walker,Flippin School,(870) 453-7445,kimwalker@flippinschools.net,flippin.ar.schoolwebpages.com,187,TRUE,FALSE,TRUE
21734,Jasper Preschool,Child Care Center,Level 4,"600 Clark St, Jasper, AR, 72641",Newton,Cindy Lambe,O.U.R. Cooperative,(870) 302-3100,clambe@oursc.k12.ar.us,,25,TRUE,TRUE,TRUE
21729,Kareer Kids CDC - Cabot,Child Care Center,Level 4,"46 Financial Dr, Cabot, AR, 72023-8610",Lonoke,Kristy Brown,Caraco Inc,(501) 605-9228,kristy@kareer-kids.com,,101,TRUE,TRUE,TRUE
21641,OUR KIDS AT YELLVILLE,Child Care Center,Level 4,"1124 N Panther Ave, Yellville, AR, 72687",Marion,Trisha Ramsey,O.U.R. Cooperative,(870) 302-3100,clambe@oursc.k12.ar.us,,87,TRUE,TRUE,TRUE
21601,West Woods Head Start Center,Child Care Center,Level 4,"1500 N Bradford Ave, El Dorado, AR, 71730-3692",Union,Emma Webster,Families And Children Together Inc.,(870) 875-1714,emma.webster@fact-inc.com,,92,FALSE,TRUE,FALSE
21298,MT IDA PRESCHOOL,Child Care Center,Level 4,"430 Ball Park Rd, Mount Ida, AR, 71957-8013",Montgomery,Lisha Taylor,Dequeen Mena Educational Cooperative,(870) 867-0149,lisha.taylor@dmesc.org,,62,FALSE,TRUE,TRUE
21175,PRE-K Daisy Bates Elementary School,Child Care Center,Level 4,"14300 Dineen Drive, Little Rock, AR, 72206",Pulaski,Nikki Stolzer,Pulaski County Special School District,(501) 897-2171,nstolzer3086@pcssd.org,,72,FALSE,TRUE,TRUE
16628,CAPCA HEAD START- CONWAY CENTER,Child Care Center,Level 4,"630 E Robins St, Conway, AR, 72032-7110",Faulkner,Cierra Hardnett,"COMMUNITY ACTION PROGRAM FOR CENTRAL ARKANSAS, INC.",(877) 699-2359,cierra.hardnett@capcainc.org,capcainc.org,75,TRUE,TRUE,FALSE
16522,OSCEOLA SCHOOL DISTRICT PRESCHOOL,Child Care Center,Level 4,"1230 WEST SEMMES, OSCEOLA, AR, 72370",Mississippi,Charlotte Brown,Osceola School District,(870) 563-1845,cbrown@osd1.org,,80,FALSE,FALSE,TRUE
16402,CAPCA HEAD START QUITMAN CENTER,Child Care Center,Level 4,"6403 HEBER SPRINGS ROAD, QUITMAN, AR, 72131",Cleburne,Jessica Barker,"COMMUNITY ACTION PROGRAM FOR CENTRAL ARKANSAS, INC.",(501) 589-2913,jessica.barker@capcainc.org,,23,TRUE,TRUE,FALSE
16271,LOTS OF LOVE INC DCFH,Licensed Child Care Family Home,Level 4,"6304 S MULBERRY ST, PINE BLUFF, AR, 71603",Jefferson,,Mary Gatewood,(870) 534-4403,marygatewood51@yahoo.com,,10,TRUE,TRUE,FALSE
16154,KING ELEMENTARY PRESCHOOL,Child Care Center,Level 4,"411 N 20TH ST, VAN BUREN, AR, 72956",Crawford,Robert Childers,Van Buren School District 42,(479) 474-2661,rchilders@vbsd.us,,54,FALSE,FALSE,TRUE
15656,UAMS Metro Headstart,Child Care Center,Level 4,"7701 Scott Hamilton Dr, Little Rock, AR, 72209-5463",Pulaski,Michael Ghiendoni,UAMS DEPARTMENT OF PEDIATRICS,(501) 447-1243,ccartwright2@uams.edu,,76,FALSE,TRUE,FALSE
15489,PIGGOTT ABC/EC PRESCHOOL,Child Care Center,Level 4,"895 EAST MAIN, PIGGOTT, AR, 72454",Clay,Glenda Causbie,NORTHEAST ARAKANSAS EDUCATION COOPERATIVE,(870) 598-1245,pswindle@nea.k12.ar.us,,60,TRUE,TRUE,TRUE
14955,Excellent Beginnings at J Street,Child Care Center,Level 4,"1901 SE J St, Bentonville, AR, 72712-3780",Benton,Deb Kee,BENTONVILLE SCHOOL DIST 6,(479) 254-5128,wforrest@bentonvillek12.org,,34,TRUE,TRUE,FALSE
14723,Mt. Vernon Enola ABC Preschool Program,Child Care Center,Level 4,"17 Mount Vernon Road, Enola, AR, 72047",Faulkner,Sarah Loyd,Mt Vernon Enola School District,(501) 849-3219,mhyman@mvewarhawks.org,http://mve.k12.ar.us,31,FALSE,FALSE,TRUE
14460,CAVE CITY ABC PRESCHOOL,Child Care Center,Level 4,"711 NORTH MAIN, CAVE CITY, AR, 72521",Sharp,Carlie Qualls,CAVE CITY SCHOOL,(870) 283-5391,carlie.qualls@cavecity.ncsc.k12.ar.us,,72,TRUE,TRUE,TRUE
14247,CAPCA HEAD START BEEBE CENTER,Child Care Center,Level 4,"1201 WEST CENTER STREET, BEEBE, AR, 72012",White,Martha Farmer,"COMMUNITY ACTION PROGRAM FOR CENTRAL ARKANSAS, INC.",(877) 699-2358,beebe@capcainc.org,www.capcainc.org,30,TRUE,TRUE,FALSE
13701,1st Presbyterian Child Care Center,Child Care Center,Level 4,"212 East Church Street, Warren, AR, 71671",Bradley,Rosa Miranda,First Presbyterian Church,(870) 226-2277,childcare@fpcccc.org,fpcccc.org,115,TRUE,TRUE,FALSE
13660,CAVE CITY HEAD START,Child Care Center,Level 4,"217 SCHOOL ROAD, CAVE CITY, AR, 72521",Sharp,Jamie Burnett,NADC INC.,(870) 283-5341,mthorne@nadcinc.org,,55,TRUE,TRUE,FALSE
13276,Morning Star Head Start Center,Child Care Center,Level 4,"804 Lockhart Street, El Dorado, AR, 71730",Union,Mavis Gill,Families And Children Together Inc.,(870) 862-2755,mavis.gill@fact-inc.com,,124,FALSE,TRUE,FALSE
12710,Oak Ave Head Start/Early Head Start,Child Care Center,Level 4,"500 OAK AVE, SPRINGDALE, AR, 72764",Washington,Katelyn Wiliford,EOA Of Washington County Inc,(479) 751-4430,kwilliford@eoawc.org,www.eoawc.org,56,TRUE,TRUE,FALSE
12534,DALLAS AEROPLEX HEAD START,Child Care Center,Level 4,"3101 DALLAS STREET BLDG 502, GOSNELL, AR, 72315",Mississippi,Donna Weathers,Mississippi County Arkansas EOC Inc.,(870) 532-6758,aeroplexmig@sbcglobal.net,www.mcaeoc.com,54,TRUE,TRUE,FALSE
12291,ARKANSAS AEROPLEX HEAD START CENTER,Child Care Center,Level 4,"2912 Lansing St BLDG 527, Gosnell, AR, 72315",Mississippi,Nancy Brooks,Mississippi County Arkansas EOC Inc.,(870) 532-5393,aeroplexregional@sbcglobal.net,www.mcaeoc.com,40,TRUE,TRUE,TRUE
11593,VIOLA HEAD START,Child Care Center,Level 4,"3141 LONGHORN DR, VIOLA, AR, 72583",Fulton,Teresa Goings,NADC INC.,(870) 458-2016,mthorne@nadcinc.org,,45,TRUE,TRUE,FALSE
11392,LEACHVILLE HEAD START CENTER,Child Care Center,Level 4,"1300 EAST THIRD STREET, LEACHVILLE, AR, 72438",Mississippi,Donna Weathers,Mississippi County Arkansas EOC Inc.,(870) 539-6554,leachvillemigrant@yahoo.com,www.mcaeoc.com,67,TRUE,TRUE,TRUE
11348,ABC Preschool,Licensed Child Care Family Home,Level 4,"400 FRANKLIN ST, HARRISON, AR, 72601",Boone,Sheryll Ireland,Sheryll Ireland,(870) 688-7411,irelandsheryll@yahoo.com,www.mssheryll.blogspot.com,16,TRUE,FALSE,FALSE
11346,Emerson Head Start Center,Child Care Center,Level 4,"508 W Main, Emerson, AR, 71740",Columbia,Cynthia Walker,Families And Children Together Inc.,(870) 626-6001,linda.jackson@fact-inc.com,,20,FALSE,TRUE,FALSE
11345,Magnolia Child Development Center,Child Care Center,Level 4,"801 Calhoun Road, Magnolia, AR, 71753",Columbia,Keisha Lewis,Families And Children Together Inc.,(870) 626-5026,judy.wade@fact-inc.com,,59,FALSE,TRUE,TRUE
11321,Hampton Head Start Center,Child Care Center,Level 4,"523 East Main Street, Hampton, AR, 71744",Calhoun,Janet Kelley,Families And Children Together Inc.,(870) 798-3004,amy.hurst@fact-inc.com,,40,FALSE,TRUE,FALSE
11295,CORNING ABC/ECE PRESCHOOL,Child Care Center,Level 4,"510 WYNN PARK, CORNING, AR, 72422",Clay,Ashley Cummings,NORTHEAST ARAKANSAS EDUCATION COOPERATIVE,(870) 886-7717,pswindle@nea.k12.ar.us,,40,TRUE,TRUE,TRUE
10750,ASU ABC,Child Care Center,Level 4,"177 Lawrence Larry Owens, Hughes, AR, 72348",St. Francis,Renett McCraw,ARKANSAS STATE UNIVERSITY,(870) 339-2157,rmccraw@astate.edu,,40,TRUE,TRUE,TRUE
10703,Paris School District Bright Opportunities Program,Child Care Center,Level 4,"401 N School St., Paris, AR, 72855-3528",Logan,Jodie Vincent,Paris School District,(844) 963-3243,jvincent@parisschools.org,http://www.parisschools.org/page/bright-opportunities-pre-k-program,105,FALSE,FALSE,TRUE
10406,Dequeen Preschool,Child Care Center,Level 4,"916 E. Vandervoort, De Queen, AR, 71832",Sevier,Sherry Dinger,Dequeen Mena Educational Cooperative,(870) 584-3032,diana.hicks@dmesc.org,,200,FALSE,TRUE,TRUE
10077,NIBCO CHILDREN'S CARE CENTER,Child Care Center,Level 4,"2501 SOUTH DIVISION, BLYTHEVILLE, AR, 72315",Mississippi,Wyvonne Brown,Mississippi County Arkansas EOC Inc.,(870) 776-1543,nibcoccc@gmail.com,www.mcaeoc.com,60,TRUE,TRUE,TRUE
8604,SULPHUR ROCK HEAD START,Child Care Center,Level 4,"1900 Lyon St, Batesville, AR, 72501",Independence,Jamie Burnett,NADC INC.,(870) 799-3415,mthorne@nadcinc.org,,16,TRUE,FALSE,FALSE
8531,SOUTHSIDE SCHOOL CHILD CARE,Child Care Center,Level 4,"70 Scott Dr, Batesville, AR, 72501-9796",Independence,Jessica Boozer,SOUTHSIDE SCHOOL DISTRICT,(870) 251-2297,lisa.mcghee@southsideschools.org,southsideschools.org,332,TRUE,TRUE,TRUE
7926,Play School Day Care Center Harrisburg,Child Care Center,Level 4,"401 EAST SOUTH STREET, HARRISBURG, AR, 72432",Poinsett,Donna Massengill,Play School Day Care Center,(870) 578-9537,donnajmassengill@gmail.com,,174,TRUE,TRUE,TRUE
7799,CAPCA HEAD START- GREENBRIER CENTER,Child Care Center,Level 4,"6 School Dr, Greenbrier, AR, 72058-9267",Faulkner,Anetrea Brown,"COMMUNITY ACTION PROGRAM FOR CENTRAL ARKANSAS, INC.",(501) 679-4639,anetrea.brown@capcainc.org,,22,TRUE,FALSE,FALSE
7657,BRINKLEY FARGO HEADSTART,Child Care Center,Level 4,"551 FLOYD BROWN RD, BRINKLEY, AR, 72021",Monroe,Latasha Dodd,MID-DELTA COMMUNITY SERVICES INC,(870) 734-3526,mdbrinkleyfargo1@m-dcs.com,,29,FALSE,FALSE,FALSE
7173,Adventure Club at Thomas Jefferson Elementary,Out of School Time,Level 4,"810 BELLA VISTA RD, BENTONVILLE, AR, 72712",Benton,Wendy Forrest,BENTONVILLE SCHOOL DIST 6,(479) 254-5860,wforrest@bentonvillek12.org,,550,TRUE,FALSE,FALSE
6734,DEVALLS BLUFF HEAD START,Child Care Center,Level 4,"572 E Sycamore St, De Valls Bluff, AR, 72041",Prairie,Tarasha Larkin,MID-DELTA COMMUNITY SERVICES INC,(870) 998-7071,mdcshs@m-dcs.com,,47,FALSE,FALSE,FALSE
6605,Salem Head Start,Child Care Center,Level 4,"146 North PICKREN STREET, SALEM, AR, 72576",Fulton,Jamie Burnett,NADC INC.,(870) 895-3434,jburnett@nadcinc.org,,22,TRUE,FALSE,FALSE
6576,Grace Lutheran Early Childhood Center,Child Care Center,Level 4,"5124 Hillcrest, Little Rock, AR, 72205",Pulaski,Robyn Robb,Grace Lutheran Church,(501) 663-0755,ecdc@gracelutheranlr.org,gracelutheranlr.org,95,TRUE,FALSE,FALSE
6081,LUXORA HEAD START CENTER,Child Care Center,Level 4,"308 THOMPSON STREET BOX 5, LUXORA, AR, 72358",Mississippi,Donna Weathers,Mississippi County Arkansas EOC Inc.,(870) 658-2493,luxoraheadstart01@yahoo.com,www.mcaeoc.com,30,TRUE,FALSE,TRUE
6019,Rogers Activity Center,Out of School Time,Level 4,"315 W Olive St, Rogers, AR, 72756-3631",Benton,Cody Stuessy,Rogers Recreation Association,(479) 631-0336,coleta@rogersrecreation.com,www.rogersrecreation.org,432,TRUE,TRUE,FALSE
2032,Martin Luther King Jr. Elementary Pre-k,Child Care Center,Level 4,"907 Martin Luther King Drive, Little Rock, AR, 72202",Pulaski,Esther Jones,Little Rock School Board,(501) 447-7362,esther.jones@lrsd.org,,120,TRUE,TRUE,TRUE
2013,Des Arc Head Start,Child Care Center,Level 4,"111 S 3rd St, Des Arc, AR, 72040",Prairie,Latasha Dodd,MID-DELTA COMMUNITY SERVICES INC,(870) 256-4491,mdcshs@m-dcs.com,,24,FALSE,FALSE,FALSE
1914,Capca Head Start - Southside Center,Child Care Center,Level 4,"1865 Lucille Street, Conway, AR, 72032",Faulkner,Amber Foot,"COMMUNITY ACTION PROGRAM FOR CENTRAL ARKANSAS, INC.",(501) 329-2169,amber.foots@capcaink.org,capcainc.org,38,TRUE,FALSE,FALSE
1839,Magazine Opportunities Program,Child Care Center,Level 4,"340 E Priddy, Magazine, AR, 72943",Logan,Carrie Staton,Magazine School District,(866) 900-2001,jared.higginbotham@magazinek12.com,,116,TRUE,FALSE,TRUE
951,Ellen Smith Head Start Center,Child Care Center,Level 4,"2052 S Garland Ave, Fayetteville, AR, 72701-6869",Washington,Adrienne Dickson,EOA Of Washington County Inc,(479) 443-1840,adickson@eoawc.org,www.EOAWC.org,66,TRUE,TRUE,FALSE
780,CAPCA HEAD START SEARCY CENTER,Child Care Center,Level 4,"610 NORTH MOSS AVENUE, SEARCY, AR, 72143",White,Shannon Lee,"COMMUNITY ACTION PROGRAM FOR CENTRAL ARKANSAS, INC.",(877) 699-2371,searcy@capcainc.org,www.capcainc.org,77,TRUE,FALSE,FALSE
649,West Washington County Head Start,Child Care Center,Level 4,"901 S Mitchell Ave, Lincoln, AR, 72744-8816",Washington,"Rebecca ""Becky"" Barnum",EOA Of Washington County Inc,(479) 824-5995,bbarnum@eoawc.org,eoawc.org,35,TRUE,TRUE,FALSE
368,Bright Start Early Learning Center,Child Care Center,Level 4,"501 S 20th ST, FORT SMITH, AR, 72901",Sebastian,Jordin Ogdon,Ft. Smith Public Schools,(479) 785-1232,kjohnston@fortsmithschools.org,https://www.fortsmithschools.org/domain/651,70,TRUE,FALSE,FALSE
31,Springdale Head Start,Child Care Center,Level 4,"800 CHARLES AVE, SPRINGDALE, AR, 72764",Washington,Nora Aguilar,EOA Of Washington County Inc,(479) 751-9461,naguilar@eoawc.org,www.eoawc.org,46,TRUE,FALSE,FALSE
