Provider Name,Permit Type,Permit Number,Operator,Facility Type,Street,City,State,Zip,County,Phone,ABC Level,Last ABC Inspection Date,Capacity,Head Start,First Steps,Breastfeeding Friendly,Sleep Safe
Legacy Christian School,License,24573,Juneatta Olenja,Child Care Center,150 Kensington Drive,SPARTANBURG,SC,29306,Spartanburg,(864)-707-5651,B,06/07/2022,122,False,True,False,False
Legacy Early College 4K Center,License,25313,LaTisha Lindsey,Child Care Center,521 E Bramlett Road,GREENVILLE,SC,29611,Greenville,(864)-565-8004,B,03/12/2024,180,False,False,False,False
Lexington Child Development Center,License,25106,Christine Stewart,Child Care Center,1839 Augusta Highway,LEXINGTON,SC,29072,Lexington,(803)-957-2438,B,11/07/2024,108,False,True,False,False
Lil Tiny Tots ChildCare Center,License,17444,Mae Frances Green,Child Care Center,1280 Wildwood Street,Orangeburg,SC,29115,Orangeburg,(803)-531-7339,B,02/05/2024,36,False,False,False,False
Linda Bell,Registration,6739,"Linda Bell ",Family Child Care Home,41 Circle Drive,HEMINGWAY,SC,29554,Williamsburg,(843)-558-1202,B,04/02/2024,6,False,False,False,False
Linda's Learning Lab,License,25872,Lashaunda Jefferson,Child Care Center,113 Tanyard Street,TIMMONSVILLE,SC,29161,Florence,(843)-346-0499,B,03/21/2024,206,False,True,False,False
Little Blessings CDC,License,22487,Clarissa Solomon,Child Care Center,4750 Little River Neck Road (Hwy 236),NORTH MYRTLE BEACH,SC,29582,Horry,(843)-249-2273,B,01/18/2024,119,False,False,False,False
"Little Harvard Academy, LLC",License,25696,Monica Crews,Child Care Center,120 Commercial Drive,COLUMBIA,SC,29212,Lexington,(803)-363-9974,B,12/07/2023,104,False,False,False,False
Little Learner's Lodge and Montessori School of Mt. Pleasant,License,13297,Margaret Elizabeth Nordoff,Child Care Center,208 Church Street,Mount Pleasant,SC,29464,Charleston,(843)-884-1117,B,09/06/2024,115,False,False,False,False
Little Miss Muffet Daycare,License,24039,"Glean Dell Alston, Laurette Scott McClary",Child Care Center,1006 S Wilkerson Street,KINGSTREE,SC,29556,Williamsburg,(843)-355-7013,B,10/23/2024,59,False,False,False,False
Little Promises Learning Center,License,17708,Annette Gerald,Child Care Center,4508 East Highway 76,MULLINS,SC,29574,Marion,(843)-561-3160,B,07/23/2024,95,False,True,False,False
Low Country CAA Head Start,Approval,24073,Stacey Renea Cox,Child Care Center,792 Burr Hill Road,COTTAGEVILLE,SC,29435,Colleton,(843)-835-2760,B,09/29/2021,262,False,False,False,False
Mack T. Hines Enrichment Center ARLLC,License,24729,Ann Davis,Child Care Center,240 Laurel Street,MULLINS,SC,29574,Marion,(843)-464-2212,B,06/21/2024,65,False,False,False,False
Mama Lee's DayCare LLC,License,25595,Deborah Lee,Child Care Center,1200 West Market Street,ANDERSON,SC,29624,Anderson,(864)-760-0453,B,,34,False,False,False,False
Margaret A Sherred Head Start,Approval,24567,Cora Jamaica Griggs,Child Care Center,510 Old Agusta Rd,GREENVILLE,SC,29605,Greenville,(864)-236-0151,B,10/11/2023,40,True,False,False,False
Margaret Ann Echols,License,17772,Margaret Echols Ann,Family Child Care Home,517 Prince Street,FLORENCE,SC,29506,Florence,(843)-665-4049,B,01/06/2025,6,False,False,False,False
Mary A Edwards,License,17897,Mary Edwards A,Group Child Care Home,7083 Roseida Road,BEAUFORT,SC,29906,Beaufort,(843)-521-0764,B,01/31/2025,12,False,False,False,False
Mary Durant,License,18639,"Mary Durant ",Family Child Care Home,531 Woodfield Lane,SUMTER,SC,29150,Sumter,(803)-481-3487,B,10/26/2023,6,False,False,False,False
MARY ELLA SPRINGS,Registration,18352,MARY SPRINGS ELLA,Family Child Care Home,6916 Louis Springs Road,LANCASTER,SC,29720,Lancaster,(803)-286-7998,B,07/31/2024,6,False,False,False,False
Mary Vanessa Ladson,License,15685,Mary Ladson Vanessa,Group Child Care Home,208 Bryant Drive,Saint Stephen,SC,29479,Berkeley,(843)-567-2055,B,10/08/2024,12,False,False,False,False
Marys Little Lamb Daycare,Not Licensed (Exempt),,Mary Woods Mcclam,Exempt,84 Marble Rd,Kingstree,SC,29556,Williamsburg,(843) 515-0057,B,09/18/2024,0,False,False,False,False
McFadden's Learning & Child Care Academy,License,24499,Shirley Woodard,Child Care Center,414 Morris Street,LAKE CITY,SC,29560,Florence,(843)-374-3442,B,07/09/2024,25,False,False,False,False
McGill's Bundles of Joy Academy,License,24297,"Loretta Mcgill, Cynthia S Edge",Child Care Center,1104 Lombardy Street,MARION,SC,29571,Marion,(843)-423-6561,B,03/03/2022,253,False,True,False,False
"McLaurin Elementary ",License,25500,Lakisha Ann Timmons,Child Care Center,1400 McMillan Lane,FLORENCE,SC,29506,Florence,(843)-664-8457,B,09/12/2024,140,False,False,False,False
Melissa Johnson,Registration,25829,"Melissa Johnson ",Family Child Care Home,250 North Point Drive,FLORENCE,SC,29501,Florence,(843)-230-3848,B,08/01/2024,6,False,False,False,False
Melonie Quimbley,License,17566,"Melonie Quimbley ",Group Child Care Home,48 Harding Street,BEAUFORT,SC,29906,Beaufort,(843)-524-1779,B,01/15/2025,12,False,False,False,False
Midland Park Primary School Head Start,Approval,18137,Frances Shaw,Child Care Center,2415 Midland Park Rd.,CHARLESTON,SC,29406,Charleston,(843)-574-2201,B,09/27/2023,459,True,False,True,False
Midlands Primary Learning Center,License,23726,"Sheria Williams, Benita McCullum",Child Care Center,203 Hendrix Street,LEXINGTON,SC,29072,Lexington,(803)-479-8983,B,09/06/2024,86,False,True,False,False
Minds In Motion Academy,License,22965,Aimee Kennedy,Child Care Center,2106 Old Spartanburg Rd.,GREER,SC,29650,Greenville,(864)-244-0405,B,05/25/2022,68,False,False,False,False
Miracle Childcare Center LLC,License,25833,Chrissaundra Elaine Ganaway,Child Care Center,1267 Edgefield Hwy.,AIKEN,SC,29801,Aiken,(803)-862-8435,B,06/10/2024,35,False,False,False,False
Miss Tammy's Little Learning Center-Boiling Springs,License,25215,Morgan Horning,Child Care Center,2298 Old Furnace Road,BOILING SPRINGS,SC,29316,Spartanburg,(864)-308-1801,B,06/10/2022,130,False,True,False,False
Mitchell Elementary Kaleidoscope,Approval,25901,Michael Bryant,Child Care Center,2 Perry street,CHARLESTON,SC,29403,Charleston,(843)-518-7002,B,05/31/2024,120,False,False,False,False
Moncks Corner Elementary Head Start,Approval,23513,,Child Care Center,777 Stoney Landing Road,MONCKS CORNER,SC,29461,Berkeley,(843)-899-8870,B,04/26/2023,53,True,False,False,False
Mon-Dae Morning Child Care Center,License,17858,Jodeen McAllister,Child Care Center,4028 S. Irby Street,FLORENCE,SC,29505,Florence,(843)-317-0021,B,10/18/2023,63,False,True,False,False
Montrese McDougal,License,25437,"Montrese McDougal ",Family Child Care Home,1512 Linhurst Road,LORIS,SC,29569,Horry,(843)-877-5879,B,04/17/2024,5,False,False,False,False
Monumental Kids Academy,License,25944,Qwan Tremayne Parnell,Child Care Center,"1898 Calhoun Street,Suite 4",COLUMBIA,SC,29201,Richland,(803)-939-2001,B,01/14/2025,21,False,False,False,False
Mt Pleasant Academy,Not Licensed (Exempt),,Sandra Reed,Exempt,605 Center St,Mt Pleasant,SC,29466,Charleston,(843) 849-2877,B,08/29/2024,0,False,False,False,False
My Sunshine Child Development Center,License,24378,Mary Crews,Child Care Center,3631 Socastee Blvd,MYRTLE BEACH,SC,29588,Horry,(843)-293-3080,B,11/01/2023,67,False,True,False,False
Nae Nae's Daycare,License,21107,Lynn P Heller,Child Care Center,3526 Dufford St,Newberry,SC,29108,Newberry,(803)-276-1885,B,09/19/2022,30,False,False,False,False
New Beginnings,License,17229,Brandi Lawson McCoy,Child Care Center,1442 Saluda Street,ROCK HILL,SC,29731,York,(803)-327-5656,B,03/29/2022,139,False,False,False,False
New Israel Reformed Episcopal Development Center,License,12246,Gayle Ashbee,Child Care Center,"69 and 79 Simons Street ",CHARLESTON,SC,29403,Charleston,(843)-723-5500,B,07/24/2024,146,False,False,False,False
Ngbostic Enterprise Llc,Not Licensed (Exempt),,Natalia Bostic,Exempt,739 Old Clemson Road,Columbia,SC,29229,Richland,(803) 764-4036,B,05/16/2023,0,False,False,False,False
Nicola M Parker,License,18150,Nicola Parker M,Group Child Care Home,185 Yadkin Avenue,GEORGETOWN,SC,29440,Georgetown,(843)-520-0735,B,06/26/2024,12,False,False,False,False
North Franklin Road Head Start,Approval,24075,Tammy Martin,Child Care Center,925 North Franklin Road,Greenville,SC,29617,Greenville,(864)-467-0357,B,08/24/2023,209,True,False,False,False
North Vista Elementary,Not Licensed (Exempt),,Harry Williams,Exempt,1100 N Irby St,Florence,SC,29501,Florence,(843) 664-8159,B,02/15/2024,0,False,False,False,False
Oakland Elementary Kaleidoscope Program,Approval,25923,Karron Griffin,Child Care Center,505 Arlington Drive,CHARLESTON,SC,29414,Charleston,(843)-402-7887,B,05/09/2022,140,False,False,False,False
OCAB Neeses Head Start Center,Approval,756,Audrey Brown,Child Care Center,706 Rice Street,NEESES,SC,29107,Orangeburg,(803)-247-4455,B,09/13/2023,160,True,False,False,False
OCAB St. Matthews Head Start Center,Approval,24182,Linda Hickson,Child Care Center,304 Agnes Street,Saint Matthews,SC,29135,Calhoun,(803)-874-3588,B,08/29/2023,48,True,False,False,False
Othelia Britton,License,25327,"Othelia Britton ",Family Child Care Home,170 James Lee Place,GEORGETOWN,SC,29440,Georgetown,(843)-833-8538,B,09/05/2024,6,False,False,False,False
Our Children Day Care,License,16978,Grace Nix,Child Care Center,15 Stanley Road,Beaufort,SC,29906,Beaufort,(843)-846-9676,B,04/08/2024,55,False,False,False,False
"Our Clubhouse, Inc.",License,15476,Danita Lashawn Freeman,Child Care Center,101 Nelson Drive,SENECA,SC,29678,Oconee,(864)-885-1020,B,08/17/2022,100,False,True,False,False
"Our Kid's Child Development Center, LLC",License,25031,Tawndrea Ransom,Child Care Center,"2700 E North Street ",GREENVILLE,SC,29615,Greenville,(864)-438-1592,B,02/13/2024,132,False,True,False,False
Palmetto Preschool - Carolina Forest,License,24848,Jessica Nicole Shade,Child Care Center,110 Village Center Blvd,MYRTLE BEACH,SC,29579,Horry,(843)-903-0045,B,08/18/2022,233,False,False,False,False
Palmetto Preschool and Learning Center,License,23503,Elizabeth Orser DiTullio,Child Care Center,3021 Fred Nash Boulevard,MYRTLE BEACH,SC,29577,Horry,(843)-293-1725,B,11/29/2023,341,False,False,False,False
Pamela Jackson,Registration,25307,"Pamela Jackson ",Family Child Care Home,112 Stonehedge Drive,INMAN,SC,29349,Spartanburg,(864)-541-6280,B,11/07/2024,6,False,False,False,False
Pamela's Nurturing Child Care,License,25899,Pamela Balbosa,Child Care Center,"219 Two Notch Road,Suite A",LEXINGTON,SC,29073,Lexington,(803)-363-3995,B,09/24/2024,28,False,False,False,False
Pamplico Head Start Center,Approval,865,Aretha Flegler Eaddy,Child Care Center,103 South Hickory Street,PAMPLICO,SC,29583,Florence,(843)-493-3912,B,11/20/2024,120,True,False,False,False
Patricia Bessellieu,Registration,8627,"Patricia Bessellieu ",Family Child Care Home,520 Lincolnshire Drive,GEORGETOWN,SC,29440,Georgetown,(843)-546-4763,B,02/24/2025,6,False,False,False,False
Patricia Renee Davis,License,17284,Patricia Davis Renee,Group Child Care Home,1407 Bobby L. Davis Blvd.,MARION,SC,29571,Marion,(843)-423-6093,B,06/27/2024,12,False,False,False,False
Patricia Washington,License,15713,"Patricia Washington ",Group Child Care Home,406 E. Richardson Street,HEMINGWAY,SC,29554,Williamsburg,(843)-933-4112,B,10/11/2023,12,False,False,False,False
Paula Delgado,Registration,24996,"Paula Delgado ",Family Child Care Home,"1001 Havelock Drive ",TAYLORS,SC,29687,Greenville,(864)-906-4102,B,,6,False,False,False,False
Pawleys Island Civic Club CDC,License,23805,Tera Marshall,Child Care Center,291 Parkersville Road,PAWLEYS ISLAND,SC,29585,Georgetown,(843)-237-4765,B,12/14/2023,101,False,True,False,False
Paxville Head Start,Approval,42,Kristie Teanna Adger,Child Care Center,9137 Paxville Hwy,MANNING,SC,29102,Clarendon,(803)-473-4575,B,05/06/2022,99,True,False,False,False
PCA Head Start Learning Center,Approval,22566,Neva Delphine Gray,Child Care Center,243 Allison Drive,GAFFNEY,SC,29340,Cherokee,(864)-206-7915,B,04/20/2022,58,False,False,False,False
Pearlene Priest Flowers,Registration,4339,Pearlene Flowers Priest,Family Child Care Home,28 Dalton Road,GEORGETOWN,SC,29440,Georgetown,(843)-546-6633,B,05/29/2024,6,False,False,False,False
Percilla Wilson,License,17120,"Percilla Wilson ",Group Child Care Home,808 Crinoline Court,FLORENCE,SC,29505,Florence,(843)-667-1213,B,01/15/2025,12,False,False,False,False
Perfect Love Afterschool,Not Licensed (Exempt),,J. Lynn Smith,Exempt,427 Bitternut Road,Columbia,SC,29209,Richland,(803) 262-1229,B,,0,False,False,False,False
Pickens Presbyterian Church Child Development Ctr.,License,21254,Chasity Brienne Lesley,Child Care Center,338 West Cedar Rock St.,PICKENS,SC,29671,Pickens,(864)-878-9953,B,09/12/2018,168,False,False,False,False
"Playhouse Day Care Kindergarten, Inc.",License,10668,Shannon Gimm,Child Care Center,1534 Orange Grove Road,CHARLESTON,SC,29407,Charleston,(843)-556-7222,B,08/23/2024,60,False,False,False,False
Pleasant Grove Academy,License,21029,Jean W Pearson,Child Care Center,1333 Penderboro Road,MARION,SC,29571,Marion,(843)-423-2096,B,05/09/2024,88,False,True,False,False
Pleasant Valley Head Start,Approval,823,Jacquelyn Owusu Asare,Child Care Center,26 Sherman Lane,Greenville,SC,29605,Greenville,(864)-277-8999,B,08/29/2023,74,True,False,False,False
Priscilla Moody,License,17153,"Priscilla Moody ",Group Child Care Home,2403 Worship Street,LITTLE ROCK,SC,29567,Dillon,(843)-841-1701,B,06/07/2024,12,False,False,False,False
Prosperity Child Care,License,17426,THOMASENA DAVIS,Child Care Center,528 Cartersville Hwy.,LAMAR,SC,29069,Darlington,(843)-326-8842,B,03/28/2024,116,False,True,False,False
Right Choice Child Development Center,License,24922,Shawn N Grier,Child Care Center,107 Dotson Street,ROCK HILL,SC,29732,York,(803)-324-5041,B,04/14/2022,82,False,False,False,False
Rilla Rin Schoolette,License,10037,"Angela Millwood, Allison Howell",Child Care Center,1202 West Poinsett Street,GREER,SC,29650,Greenville,(864)-877-7102,B,03/14/2023,91,False,False,True,False
Rosemary Simmons-Brown,License,25402,"Rosemary Simmons-Brown ",Family Child Care Home,341 Coburn Town Road,RIDGEVILLE,SC,29472,Dorchester,(843)-696-6139,B,09/12/2024,6,False,False,False,False
Round The Clock Child Care Center,License,17901,Bennie Bradley,Child Care Center,2180 Peach Orchard Road,SUMTER,SC,29154,Sumter,(803)-499-7414,B,09/25/2024,100,False,False,False,False
Rutha L Kinloch,License,17619,Rutha Kinloch L,Group Child Care Home,1015 Brokinrich Road,HUGER,SC,29450,Berkeley,(843)-906-5138,B,09/22/2022,12,False,False,False,False
Ruths Learning Academy,Not Licensed (Exempt),,Samantha Chandler,Exempt,504 Kelly Street,Kingstree,SC,29556,Williamsburg,(843) 401-4247,B,11/29/2021,0,False,False,False,False
Sade Hollis,License,25945,"Sade Hollis ",Family Child Care Home,25 Windsor Cove,COLUMBIA,SC,29223,Richland,(803)-908-3305,B,07/10/2024,5,False,False,False,False
Saint John Preschool,License,11968,McKenzie Danielle Nelson,Child Care Center,3404 Beltline Blvd,COLUMBIA,SC,29203,Richland,(803)-256-8542,B,05/05/2022,140,False,False,False,False
Sampit Child Care Center,License,12597,Geraldine Holmes,Child Care Center,92 Singleton Avenue,GEORGETOWN,SC,29440,Georgetown,(843)-546-0207,B,05/30/2024,40,False,True,False,False
Sandra Green,Registration,25625,"Sandra Green ",Family Child Care Home,406 S. Cameron Road,LAKE CITY,SC,29560,Florence,(843)-621-2176,B,09/10/2024,6,False,False,False,False
Sandra L Payne,License,15687,Sandra Payne L,Group Child Care Home,254 Broadview Drive,SPARTANBURG,SC,29303,Spartanburg,(864)-948-1904,B,12/20/2022,12,False,False,False,False
Sarah Jane Scott,License,17536,Sarah Scott Jane,Group Child Care Home,1205 Flamingo Drive,COLUMBIA,SC,29203,Richland,(803)-691-1014,B,08/20/2024,12,False,False,False,False
Savannah Grove Elementary,Not Licensed (Exempt),,Beverly Woods,Exempt,2348 Savannah Grove Rd,Effingham,SC,29541,Florence,(843) 664-8463,B,09/27/2024,0,False,False,False,False
Sea Mountain Academy,License,25195,Diana Junker,Child Care Center,4233 Sea Mountain Hwy,LITTLE RIVER,SC,29566,Horry,(843)-734-0495,B,04/09/2024,95,False,True,False,False
Second Baptist Christian Prep School,License,16942,Tabitha Daniels,Child Care Center,353 Laurens Street. N. W.,AIKEN,SC,29801,Aiken,(803)-502-0710,B,09/13/2022,100,False,False,False,False
Seconia V Mays,Registration,9646,Seconia Mays V,Family Child Care Home,119 Birch Street,Walterboro,SC,29488,Colleton,(843)-549-5871,B,09/18/2024,6,False,False,False,False
Seneca Head Start Center,Approval,900,ALICE LEE,Child Care Center,340 N. Perkins Creek Rd.,SENECA,SC,29678,Oconee,(864)-882-8700,B,09/08/2022,150,True,False,False,False
Seven Oaks Kids Academy,License,22111,Linda Dawkins,Child Care Center,150 Leisure Lane,COLUMBIA,SC,29210,Lexington,(803)-798-4904,B,10/09/2024,141,False,True,False,False
Shannon Pressley Whitten,Registration,21715,Shannon Whitten Pressley,Family Child Care Home,231 Elliot Lane,CROSS,SC,29436,Berkeley,(843)-696-3821,B,10/09/2024,6,False,False,False,False
Shatanna Myers,Registration,25388,"Shatanna Myers ",Family Child Care Home,296 Perry Road,GEORGETOWN,SC,29440,Georgetown,(843)-344-8464,B,01/29/2025,6,False,False,False,False
Sheila Covington,Registration,25085,"Sheila Covington ",Family Child Care Home,129 Luther Rogers Road,Marion,SC,29571,Marion,(843)-765-3218,B,09/19/2024,6,False,False,False,False
Shelia Nesmith,License,17282,"Shelia Nesmith ",Group Child Care Home,"2519 Sand Pit Road, Lot 16",FLORENCE,SC,29506,Florence,(843)-667-0001,B,11/14/2024,12,False,False,False,False
Sherman's Child Development,License,23322,Bertha Ann Sherman,Child Care Center,1512 Oak Street,CONWAY,SC,29526,Horry,(843)-488-9966,B,04/24/2024,56,False,True,False,False
Shiquira Dukes,Registration,25632,"Shiquira Dukes ",Family Child Care Home,258 Sorrel Tree Drive,COLUMBIA,SC,29223,Richland,(954)-881-8594,B,06/01/2023,5,False,False,False,False
Shirley Ellison,Registration,25713,"Shirley Ellison ",Family Child Care Home,1722 Ripplerock Road,COLUMBIA,SC,29210,Richland,(803)-667-9241,B,08/21/2024,5,False,False,False,False
Simpson Head Start Center,Approval,9,Tracy M Galloway,Child Care Center,304 West D Street,EASLEY,SC,29640,Pickens,(864)-855-0354,B,08/22/2023,40,True,False,False,False
Small Minds of Tomorrow,License,17786,"Lunda Green, Michelle Jenkins",Child Care Center,1601 Hawkins Street,GEORGETOWN,SC,29440,Georgetown,(843)-546-3233,B,03/19/2024,30,False,False,False,False
Small Minds of Tomorrow II,License,23787,"Lunda Green, Susan D Evans",Child Care Center,52 Hinds Street,GEORGETOWN,SC,29440,Georgetown,(843)-461-4006,B,08/30/2024,55,False,False,False,False
Smart Start Academy,License,24862,"Anita Pedersen, Maxine Hughes",Child Care Center,10115 Farrow Road,BLYTHEWOOD,SC,29016,Richland,(803)-638-4860,B,03/01/2024,124,False,False,False,False
Sonshine Learning Center,License,17497,Dawn M Holifield,Child Care Center,1201 Haywood Road,GREENVILLE,SC,29615,Greenville,(864)-233-4062,B,05/06/2022,265,False,False,False,False
Southeast Child Development Center,License,17892,Roger Leon Gounaud,Child Care Center,1540 Elmtree Road,COLUMBIA,SC,29209,Richland,(803)-776-0177,B,06/02/2022,143,False,False,False,False
St Anthony of Padua,License,23622,Nakisha McKinney,Child Care Center,311 Gower St,GREENVILLE,SC,29611,Greenville,(864)-271-0167,B,03/29/2022,108,False,True,False,False
St. James Santee Elem. School,Approval,21220,Barbara Blake,Child Care Center,8900 Hwy 17 N.,MC CLELLANVILLE,SC,29458,Charleston,(843)-723-0863,B,10/04/2023,108,True,False,False,False
St. Naomi's Child Development Center,License,17932,Thelma Dwight,Child Care Center,1006 Pleasant Grove,GADSDEN,SC,29052,Richland,(803)-353-2400,B,05/29/2024,56,False,False,False,False
Stepping Stones Academy,License,24328,Naprell Van Buren,Child Care Center,2409 Mall Drive Ste B,North Charleston,SC,29406,Charleston,(843)-805-4679,B,06/24/2022,157,False,False,False,False
Stepping Stones Child Care Center,License,17911,Glennis D McElveen,Child Care Center,1100 E. Palmetto Street,FLORENCE,SC,29506,Florence,(843)-669-5612,B,04/11/2024,39,False,False,False,False
Success By Steps Early Learning Academy,License,25455,Briana Marisa Gantt,Child Care Center,5321 North Main Street,COLUMBIA,SC,29203,Richland,(803)-995-5442,B,07/26/2023,23,False,False,False,False
Sugar Bear's DC/CD Learning Center LLC,License,16648,"Tinika Smith Grisset, Barbara Ann Smith",Child Care Center,524 E. Godbold Street,MARION,SC,29571,Marion,(843)-423-1092,B,06/25/2024,87,False,True,False,False
"Sunrise Children's Academy, LLC",License,24660,"Mary Baddela, Eva M Braun",Child Care Center,217 Physician's Ct. Main Bldg.,Myrtle Beach,SC,29579,Horry,(843)-236-2223,B,03/07/2024,148,False,True,False,False
"Sunshine Day Care ",License,11856,Sarah Williams Parrott,Child Care Center,310 West Roughfork Street,FLORENCE,SC,29501,Florence,(843)-665-3233,B,06/12/2024,40,False,False,False,False
Sunshine House,License,15820,Brittany Schonveld,Child Care Center,1085 Fernwood Glendale Road,SPARTANBURG,SC,29307,Spartanburg,(864)-582-3757,B,07/22/2022,169,False,True,False,False
Sunshine House,License,15819,Sigourney Zacharski,Child Care Center,3011 Broad River Road,COLUMBIA,SC,29210,Richland,(803)-772-0517,B,11/21/2024,169,False,True,False,False
Sunshine House,License,17254,Jeanne Rene Heath,Child Care Center,2685 Dry Pocket Road,GREER,SC,29650,Greenville,(864)-288-5842,B,06/30/2022,190,False,False,False,False
"Sunshine House ",License,16759,,Child Care Center,1801 Clemson Road,COLUMBIA,SC,29229,Richland,(803)-788-5758,B,08/10/2022,185,False,True,False,False
Sunshine House,License,15123,Casey Campbell Houston,Child Care Center,6805 State Park Road,TRAVELERS REST,SC,29690,Greenville,(864)-834-8414,B,08/05/2022,127,False,False,False,False
Sunshine House,License,17486,Rochelsea Burson,Child Care Center,915 Kennerly Road,IRMO,SC,29063,Richland,(803)-781-1734,B,03/20/2024,202,False,True,False,False
Sunshine House ' 2,License,12511,Kindra Vernette Carroll,Child Care Center,1104 Grace Street,GREENWOOD,SC,29649,Greenwood,(864)-223-0476,B,04/29/2022,139,False,True,False,False
Sunshine House #106,License,17761,Chasity Walker,Child Care Center,1102 Dennis Blvd.,MONCKS CORNER,SC,29461,Berkeley,(843)-761-8738,B,06/28/2022,127,False,True,False,False
Sunshine House #15,License,15827,Ashley Nicole Livingston,Child Care Center,315 New Neely Ferry Road,MAULDIN,SC,29662,Greenville,(864)-288-3267,B,04/19/2022,113,False,True,False,False
Sunshine House #243,License,25772,Sheila Lee,Child Care Center,"1225 Cross Anchor Rd. ",WOODRUFF,SC,29388,Spartanburg,(864)-670-8014,B,05/07/2024,230,False,True,False,False
Sunshine House #28,License,15830,Juliet Rayshiem Shine,Child Care Center,8180 Dorchester Road,NORTH CHARLESTON,SC,29418,Dorchester,(843)-552-0822,B,05/29/2024,114,False,True,False,False
Sunshine House #29,License,15832,Taylor N Bess,Child Care Center,2145 NAD Road,CHARLESTON,SC,29406,Charleston,(843)-553-0328,B,03/24/2022,106,False,False,False,False
Sunshine House '57,License,17028,Jeannine Pariseau,Child Care Center,1950 South Centennial Avenue,AIKEN,SC,29803,Aiken,(803)-642-6804,B,04/12/2019,173,False,True,False,False
Sunshine House '59,License,17332,Jocelyn C Whitfield,Child Care Center,109 Summerwood Way,AIKEN,SC,29803,Aiken,(803)-649-0536,B,03/13/2024,146,False,False,False,False
Sunshine House Early Learning Academy #82,License,17678,Joann Elizabeth Holly,Child Care Center,3300 Turgot Lane,MOUNT PLEASANT,SC,29466,Charleston,(843)-388-2949,B,09/13/2024,187,False,False,False,False
Sunshine House-Center 135/ The Children's Garden,License,17925,Lindsay W Jones,Child Care Center,256 Wells Avenue,GREENWOOD,SC,29646,Greenwood,(864)-227-6700,B,04/29/2022,88,False,True,False,False
Sunshine House-Site 14,License,15151,Freddie Stroud Jr.,Child Care Center,1895 West Main Street,ROCK HILL,SC,29732,York,(803)-329-4175,B,03/25/2022,147,False,True,False,False
Swan Lake Academy LLC,License,24767,Shanelle Phillips,Child Care Center,13 Barnett Drive,SUMTER,SC,29150,Sumter,(803)-418-5802,B,11/30/2023,113,False,True,False,False
Tameka Washington,Registration,25431,"Tameka Washington ",Family Child Care Home,2410 Glenns Park Road,FLORENCE,SC,29505,Florence,(843)-206-1076,B,11/18/2024,6,False,False,False,False
Tamela McGill,Registration,22737,"Tamela McGill ",Family Child Care Home,1522 Sandcrest Drive,LAKE VIEW,SC,29563,Dillon,(843)-759-0344,B,04/29/2024,6,False,False,False,False
Te'Andra Shadane Hunter,Registration,25979,Te'Andra Hunter Shadane,Family Child Care Home,2131 Harbour Lane,FLORENCE,SC,29505,Florence,(843)-618-1083,B,10/28/2024,6,False,False,False,False
"The Academy of Young Scholars, LLC",License,24655,Helen Barnes,Child Care Center,1446 Mt. Gallant Road,ROCK HILL,SC,29732,York,(803)-328-6460,B,08/19/2022,79,False,False,False,False
The Learning Center,License,22770,Deborah F Tice,Child Care Center,2730 S. Island Road,GEORGETOWN,SC,29440,Georgetown,(843)-546-8991,B,06/26/2024,66,False,False,False,False
The Learning Experience,License,25984,Erica Pitrack,Child Care Center,407 Faison Rd,MOUNT PLEASANT,SC,29466,Charleston,(843)-284-8881,B,12/12/2024,232,False,True,False,False
The Learning Station-Forestbrook,License,24919,Alicia Jensen,Child Care Center,4301 Panther Parkway,MYRTLE BEACH,SC,29588,Horry,(843)-236-4722,B,03/19/2024,204,False,True,False,False
"The Learning Station-McCormick ",License,25524,Faith Lynn Noel,Child Care Center,3480 McCormick Road,MYRTLE BEACH,SC,29579,Horry,(843)-236-1230,B,04/26/2023,90,False,False,False,False
The Reading Rainbow Academy,License,24478,LaQuinta Washington,Child Care Center,24 Sycamore Ave,CHARLESTON,SC,29407,Charleston,(843)-225-8080,B,,48,False,True,False,False
Theodore Lester Elementary,Not Licensed (Exempt),,Beverly Woods,Exempt,301 East Palmetto St,Florence,SC,29506-4014,Florence,(843) 669-4141,B,03/01/2024,0,False,False,False,False
Theresa A Brown,License,18074,Theresa Brown A,Group Child Care Home,413 South Morgan Avenue,ANDREWS,SC,29510,Georgetown,(843)-264-2517,B,06/21/2024,12,False,False,False,False
Thompson Children Learning Center,License,25976,Tonia Stuckey,Child Care Center,919 South Sixth Street,HARTSVILLE,SC,29550,Darlington,(843)-857-9599,B,07/11/2024,35,False,True,False,False
Thornwell Child Development Center,License,23194,Nicole Christina Maccalous,Child Care Center,102 MacDonald Drive,CLINTON,SC,29325,Laurens,(864)-938-2160,B,07/21/2022,203,False,True,False,False
Timmonsville Head Start/Early Head Start,Approval,24993,April Taylor,Child Care Center,304 Kemper Street,TIMMONSVILLE,SC,29161,Florence,(843)-269-2617,B,08/31/2022,28,False,False,False,False
Timrod Elementary,Not Licensed (Exempt),,Beverly Woods,Exempt,1901 Old Marion Hwy,Florence,SC,29506,Florence,(843) 758-6046,B,02/09/2024,0,False,False,False,False
Toddler House Day Care,License,15945,Jameishia Ingram,Child Care Center,403 S. Spruce Street,ROCK HILL,SC,29730,York,(803)-327-5755,B,08/10/2022,45,False,False,False,False
Tommie C. Brooks Head Start,Approval,20061,Della Marie Snoddy,Child Care Center,210 Verner Springs Road,Greenville,SC,29617,Greenville,(864)-235-5829,B,05/23/2023,92,False,False,False,False
