Certificate Number,Account Name,Type,Status,Certificate Effective Date,Certificate Expiration Date,Physical County,Physical Street,Physical City,Physical State/Province,Physical Zip/Postal Code,Phone,Capacity-Infants,Capacity-One-Year-Olds,School Aged,Capacity-Total Licensed,License Tier,Approved To,
CDC-17104,Divine Children Preschool And Daycare,Child Care Center,Active,10/1/2023,9/30/2024,MARICOPA,8215 West Indian School Road,Phoenix,AZ,85033,6233374771,0,14,Licensed,89,60+ licensed capacity,Full-Day Care; Part Day Care; One-year-old Care; Two-year-old Care; 3/4/5-year-old Care; School-Age Child Care,
0020045CGHXE88878333,Dixieland's Childcare 2 Inc,Child Care Group Home,Active,6/16/2024,6/15/2025,Maricopa,8892 S 258th Ln,Buckeye,AZ,85326,312-718-5593,0,0,,10,1-10 licensed capacity,Full-Day Care; 3/4/5-year-old Care; Weekend Care; Evening/Nighttime Care,
CDC-8142,Dobson Academy,Child Care Center,Active,5/1/2024,4/30/2025,MARICOPA,2207 North Dobson Road,Chandler,AZ,85224,4808556325,0,0,Licensed,142,60+ licensed capacity,Full-Day Care; Part Day Care; 3/4/5-year-old Care; School-Age Child Care,
SGH-15924,Donna's Child Care,Child Care Group Home,Active,7/1/2024,6/30/2025,PIMA,702 West Coventry Drive,Tucson,AZ,85756,(520) 303-5050,0,0,Licensed,10,1-10 licensed capacity,Full-Day Care; Part Day Care; Infant Care; One-year-old Care; Two-year-old Care; 3/4/5-year-old Care; School-Age Child Care; Evening/Nighttime Care,
CDC-15153,Dr. Saide Recreation Center,Child Care Center,Active,10/1/2021,9/30/2024,MARICOPA,1003 East Eason Avenue,Buckeye,AZ,85326,6233496350,0,0,,35,11-59 licensed capacity,Part Day Care; 3/4/5-year-old Care,
CDC-7556,Dream City Christian School - Glendale Llc,Child Care Center,Active,5/31/2022,5/31/2025,MARICOPA,21000 North 75th Avenue,Glendale,AZ,85308,6235612000,12,41,Licensed,226,60+ licensed capacity,Full-Day Care; Part Day Care; Infant Care; One-year-old Care; Two-year-old Care; 3/4/5-year-old Care; School-Age Child Care,
0020033CGHFW25443156,Dreamland Childcare & Preschool,Child Care Group Home,Active,3/15/2024,3/14/2025,Pima,910 West Calle Evelina,Tucson,AZ,85706,520-849-6737,0,0,Licensed,10,1-10 licensed capacity,Full-Day Care; Part Day Care; Infant Care; One-year-old Care; Two-year-old Care; 3/4/5-year-old Care; School-Age Child Care,
CDC-10875,Dynamite Montessori School,Child Care Center,Active,9/1/2021,8/31/2024,MARICOPA,28807 North 53rd Street,Cave Creek,AZ,85331,4805635710,0,32,Licensed,217,60+ licensed capacity,Full-Day Care; Part Day Care; One-year-old Care; Two-year-old Care; 3/4/5-year-old Care; School-Age Child Care,
0020157CDCFH78512376,Dysart Head Start Catholic Charities Community Services,Child Care Center,Active,8/14/2023,8/13/2024,Maricopa,12800 W Varney Rd,El Mirage,AZ,85335,602-997-1421,0,0,,60,60+ licensed capacity,Full-Day Care; 3/4/5-year-old Care,
CDC-17041,"E.E.I. Compass Educational Partners, Inc.",Child Care Center,Active,8/1/2024,7/31/2025,MARICOPA,3950 North 53rd Avenue,Phoenix,AZ,85031,6026380828,0,0,Licensed,45,11-59 licensed capacity,Full-Day Care; Part Day Care; 3/4/5-year-old Care; School-Age Child Care,
CDC-17016,E.E.I Compass Educational Partners/Compass Educational Programs,Child Care Center,Active,8/1/2024,7/31/2025,MARICOPA,1619 East Main Street,Mesa,AZ,85203,6026380818,0,0,Licensed,50,11-59 licensed capacity,Full-Day Care; Part Day Care; School-Age Child Care,
CDC-8341,Early Explorers Learning Centers DBA Early Beginners Preschool and Daycare,Child Care Center,Active,9/1/2023,8/31/2024,MARICOPA,3131 East Aire Libre Avenue,Phoenix,AZ,85032,6024593231,0,14,Licensed,96,60+ licensed capacity,Full-Day Care; Part Day Care; One-year-old Care; Two-year-old Care; 3/4/5-year-old Care; School-Age Child Care,
CDC-18814,Early Learning Academy Inc,Child Care Center,Active,3/1/2024,2/28/2025,LA PAZ,"1013 West Arizona Avenue - Suite A,B,C",Parker,AZ,85344,928301-4000,8,16,Licensed,81,60+ licensed capacity,Full-Day Care; Part Day Care; Infant Care; One-year-old Care; Two-year-old Care; 3/4/5-year-old Care; School-Age Child Care,
CDC-19168,Early Steps Iv Llc,Child Care Center,Active,3/16/2022,3/15/2025,Maricopa,2828 North 51st Avenue - Suite 180,Phoenix,AZ,85035,(602)975-6530,5,0,,36,11-59 licensed capacity,Full-Day Care; Part Day Care; Infant Care; One-year-old Care; Two-year-old Care; 3/4/5-year-old Care,
CDC-18691,Early Steps Learning,Child Care Center,Active,1/1/2024,12/31/2024,MARICOPA,6501 North 27th Avenue,Phoenix,AZ,85017,6026753007,5,9,Licensed,82,60+ licensed capacity,Full-Day Care; Part Day Care; Infant Care; One-year-old Care; Two-year-old Care; 3/4/5-year-old Care; School-Age Child Care,
CDC-9344,Easter Seals Blake Foundation Palomita Children's Center,Child Care Center,Active,5/31/2022,5/31/2025,GRAHAM,250 West 15th Street,Safford,AZ,85546,5202479720,0,27,Licensed,83,60+ licensed capacity,Full-Day Care; Part Day Care; One-year-old Care; Two-year-old Care; 3/4/5-year-old Care; School-Age Child Care,
CDC-12860,East Mesa Charter Elementary School,Child Care Center,Active,8/1/2024,7/31/2025,MARICOPA,9701 East Southern Avenue,Mesa,AZ,85209,4806881622,0,0,Licensed,214,60+ licensed capacity,Full-Day Care; Part Day Care; 3/4/5-year-old Care; School-Age Child Care,
CDC-12056,East Valley J C C,Child Care Center,Active,6/1/2024,5/31/2025,MARICOPA,908 North Alma School Road,Chandler,AZ,85224,4808970588,28,48,Licensed,373,60+ licensed capacity,Full-Day Care; Part Day Care; Infant Care; One-year-old Care; Two-year-old Care; 3/4/5-year-old Care; School-Age Child Care,
CDC-17939,East Valley Learning Center,Child Care Center,Active,7/1/2024,6/30/2025,MARICOPA,71 South Mcqueen Road,Gilbert,AZ,85233,4802374610,25,40,Licensed,200,60+ licensed capacity,Full-Day Care; Part Day Care; Infant Care; One-year-old Care; Two-year-old Care; 3/4/5-year-old Care; School-Age Child Care,
CDC-19182,Education Express Preschool,Child Care Center,Active,4/4/2022,4/3/2025,Maricopa,1241 East Mckellips - Suite 100,Mesa,AZ,85203,4809691109,5,15,Licensed,154,60+ licensed capacity,Full-Day Care; Part Day Care; Infant Care; One-year-old Care; Two-year-old Care; 3/4/5-year-old Care; School-Age Child Care,
SGH-18253,Education Through Consciousness,Child Care Group Home,Active,8/1/2024,7/31/2025,MARICOPA,2023 South 106th Avenue,Tolleson,AZ,85353,9514633385,0,0,Licensed,10,1-10 licensed capacity,Full-Day Care; Part Day Care; Infant Care; One-year-old Care; School-Age Child Care; Evening/Nighttime Care,
CDC-16905,Eduprize,Child Care Center,Active,7/1/2024,6/30/2025,MARICOPA,580 West Melody Avenue,Gilbert,AZ,85233,4808139537,0,0,,25,11-59 licensed capacity,Part Day Care; 3/4/5-year-old Care,
CDC-17333,Eduprize School - Queen Creek,Child Care Center,Active,9/1/2021,8/31/2024,MARICOPA,4567 West Roberts Road,Queen Creek,AZ,85142,4808881610,0,0,,30,11-59 licensed capacity,Part Day Care; 3/4/5-year-old Care,
CDC-12301,Ehmkes Childhaven Preschool,Child Care Center,Active,9/1/2023,8/31/2024,NAVAJO,841 East Mc Neil Street,Show Low,AZ,85901,9285372365,0,0,Licensed,90,60+ licensed capacity,Full-Day Care; Part Day Care; Two-year-old Care; 3/4/5-year-old Care; School-Age Child Care,
0020007CGHKT91577695,Eileen Saldana,Child Care Group Home,Active,8/8/2023,8/7/2024,Gila,1017 S Ponderosa St,Payson,AZ,85541,9283630202,0,0,Licensed,10,1-10 licensed capacity,Full-Day Care; Part Day Care; Infant Care; One-year-old Care; Two-year-old Care; 3/4/5-year-old Care; School-Age Child Care; Weekend Care,
CDC-10843,El Castillo Del Nino,Child Care Center,Active,9/1/2021,8/31/2024,YUMA,1409 Arden Avenue,San Luis,AZ,85349,9283669447,0,0,Licensed,16,11-59 licensed capacity,Full-Day Care; Part Day Care; Two-year-old Care; 3/4/5-year-old Care; School-Age Child Care,
0020183CDCCX89056969,Elena Montessori School LLC,Child Care Center,Active,9/29/2023,9/28/2024,Maricopa,17150 East Amhurst Drive,Fountain Hills,AZ,85268,4806893181,10,11,,37,11-59 licensed capacity,Full-Day Care; Part Day Care; Infant Care; One-year-old Care; Two-year-old Care; 3/4/5-year-old Care,
0020005CDCTR51741148,ElevateChild,Child Care Center,Active,7/1/2022,6/30/2025,Maricopa,11090 N Frank Lloyd Wright Blvd,Scottsdale,AZ,85259,3123302349,20,11,Licensed,133,60+ licensed capacity,Full-Day Care; Infant Care; One-year-old Care; Two-year-old Care; 3/4/5-year-old Care; School-Age Child Care,
SGH-16759,Elite Child Care,Child Care Group Home,Active,10/1/2023,9/30/2024,MARICOPA,6901 West Sheila Lane,Phoenix,AZ,85033,6026145540,0,0,Licensed,10,1-10 licensed capacity,Full-Day Care; Part Day Care; Infant Care; One-year-old Care; School-Age Child Care; Evening/Nighttime Care,
CDC-14277,Elite Preschool And Learning Center,Child Care Center,Active,12/1/2023,11/30/2024,MARICOPA,7840 West Lower Buckeye Road,Phoenix,AZ,85043,6239079938,0,35,Licensed,210,60+ licensed capacity,Full-Day Care; Part Day Care; One-year-old Care; Two-year-old Care; 3/4/5-year-old Care; School-Age Child Care,
CDC-17055,El Mirage Head Start,Child Care Center,Active,9/1/2023,8/31/2024,MARICOPA,13500 North El Mirage Road,El Mirage,AZ,85335,623-876-7246,0,0,,40,11-59 licensed capacity,Full-Day Care; 3/4/5-year-old Care,
CDC-18477,Eloy Head Start,Child Care Center,Active,12/1/2021,11/30/2024,PINAL,114 East 3rd Street,Eloy,AZ,85131,5204667189,0,10,,152,60+ licensed capacity,Full-Day Care; Part Day Care; One-year-old Care; Two-year-old Care; 3/4/5-year-old Care,
CDC-17634,El Presidio Day School,Child Care Center,Active,5/31/2022,5/31/2025,PIMA,430 North Main Street,Tucson,AZ,85711,5208841211,12,12,Licensed,106,60+ licensed capacity,Full-Day Care; Part Day Care; Infant Care; One-year-old Care; Two-year-old Care; 3/4/5-year-old Care; School-Age Child Care,
0020046CGHYD29566600,Elsa's Day Care,Child Care Group Home,Active,6/16/2024,6/15/2025,Yuma,3906 West 25th Lane,Yuma,AZ,85364,4088401868,0,0,,10,1-10 licensed capacity,Full-Day Care; Part Day Care; Infant Care; One-year-old Care; Two-year-old Care; 3/4/5-year-old Care,
SGH-10829,Elsa's Group Home,Child Care Group Home,Active,8/1/2024,7/31/2025,PIMA,5129 South Cassia Way,Tucson,AZ,85706,5205739689,0,0,Licensed,10,1-10 licensed capacity,Full-Day Care; Part Day Care; Infant Care; One-year-old Care; School-Age Child Care; Evening/Nighttime Care,
CDC-5891,Emmaus Lutheran Child Care Center,Child Care Center,Active,6/1/2024,5/31/2025,MARICOPA,3841 West Sweetwater Avenue,Phoenix,AZ,85029,6028433853,0,0,Licensed,59,11-59 licensed capacity,Full-Day Care; Part Day Care; 3/4/5-year-old Care; School-Age Child Care,
SGH-16995,Enchanted Home Montessori School,Child Care Group Home,Active,7/1/2024,6/30/2025,MARICOPA,5452 West Whispering Wind Drive,Glendale,AZ,85310,6233407123,0,0,Licensed,10,1-10 licensed capacity,Full-Day Care; Part Day Care; School-Age Child Care,
CDC-15743,Erik Hite Foundation Child Care Center,Child Care Center,Active,6/1/2024,5/31/2025,PIMA,"9420 East Golf Links Road, Pmb 265",Tucson,AZ,85730,5204456840,10,13,Licensed,82,60+ licensed capacity,Full-Day Care; Part Day Care; Infant Care; One-year-old Care; Two-year-old Care; 3/4/5-year-old Care; School-Age Child Care; Weekend Care; Evening/Nighttime Care,
CDC-16052,Esperanza Montessori Academy,Child Care Center,Active,7/1/2024,6/30/2025,MARICOPA,4848 South 2nd Street,Phoenix,AZ,85040,6022437788,0,0,,25,11-59 licensed capacity,Full-Day Care; 3/4/5-year-old Care,
SGH-9307,Estes Family Day Care,Child Care Group Home,Active,3/1/2022,2/28/2025,MARICOPA,857 South 54th Circle,Mesa,AZ,85206,4809850598,0,0,Licensed,10,1-10 licensed capacity,Full-Day Care; Part Day Care; Infant Care; One-year-old Care; School-Age Child Care; Evening/Nighttime Care,
0020119CGHDE85486622,EstrellaCareLLC,Child Care Group Home,Active,7/1/2024,6/30/2025,Maricopa,2523 West Burgess Lane,Phoenix,AZ,85041,602-883-9073,0,0,,10,1-10 licensed capacity,Full-Day Care; Part Day Care; Infant Care; One-year-old Care; Two-year-old Care; 3/4/5-year-old Care,
CDC-10999,Estrella Mountain Preschool,Child Care Center,Active,12/1/2021,11/30/2024,MARICOPA,10485 South Estrella Parkway,Goodyear,AZ,85338,6234765578,0,0,Licensed,142,60+ licensed capacity,Full-Day Care; Part Day Care; 3/4/5-year-old Care; School-Age Child Care,
CDC-18883,"Estrellita Child Care Center, LLC",Child Care Center,Active,8/1/2024,7/31/2025,YUMA,751 North 4th Avenue,San Luis,AZ,85349,9287225242,0,0,Licensed,46,11-59 licensed capacity,Full-Day Care; Part Day Care; One-year-old Care; Two-year-old Care; 3/4/5-year-old Care; School-Age Child Care,
0020112CGHCI17666874,Estrellita Child Care LLC Services,Child Care Group Home,Active,6/6/2024,6/5/2025,Pima,1861 West Oak View Lane,Tucson,AZ,85746,520-409-1621,0,0,Licensed,10,1-10 licensed capacity,Full-Day Care; Part Day Care; Infant Care; One-year-old Care; Two-year-old Care; 3/4/5-year-old Care; School-Age Child Care; Weekend Care; Evening/Nighttime Care,
CDC-18564,Ethos Academy - A Challenge Foundation Academy,Child Care Center,Active,12/1/2023,11/30/2024,MARICOPA,8840 North 43rd Avenue,Glendale,AZ,85302,6232493211,0,0,Licensed,235,60+ licensed capacity,Part Day Care; School-Age Child Care,
CDC-19210,Evergreen Academy Preschool,Child Care Center,Active,3/1/2022,2/28/2025,Coconino,1001 North Turquoise Drive,Flagstaff,AZ,86001,9288148806,5,12,Licensed,105,60+ licensed capacity,Full-Day Care; Infant Care; One-year-old Care; Two-year-old Care; 3/4/5-year-old Care; School-Age Child Care,
SGH-15791,Explora Childcare,Child Care Group Home,Active,11/1/2023,10/31/2024,MARICOPA,1851 West Lantana Drive,Chandler,AZ,85248,4808121681,0,0,Licensed,10,1-10 licensed capacity,Full-Day Care; Part Day Care; Infant Care; One-year-old Care; Two-year-old Care; 3/4/5-year-old Care; School-Age Child Care,
CDC-10484,Explorers In Learning,Child Care Center,Active,7/1/2024,6/30/2025,MARICOPA,4723 East Union Hills Drive,Phoenix,AZ,85050,6029531200,24,29,Licensed,203,60+ licensed capacity,Full-Day Care; Part Day Care; Infant Care; One-year-old Care; Two-year-old Care; 3/4/5-year-old Care; School-Age Child Care,
CDC-14435,F.E.S.D.#45 - Dr. Marvene Lobato Child Care Center,Child Care Center,Active,7/1/2024,6/30/2025,MARICOPA,6250 West Durango Street,Phoenix,AZ,85043,6234747260,14,21,,140,60+ licensed capacity,Full-Day Care; Part Day Care; Infant Care; One-year-old Care; Two-year-old Care; 3/4/5-year-old Care,
CDC-15330,F.E.S.D.#45 - Head Start At Fowler Elementary School,Child Care Center,Active,3/31/2022,3/31/2025,MARICOPA,6707 West Van Buren Street,Phoenix,AZ,85043,6237072500,0,0,,50,11-59 licensed capacity,Full-Day Care; 3/4/5-year-old Care,
CDC-12294,F.E.S.D.#45 - Head Start At Sunridge Elementary,Child Care Center,Active,10/1/2023,9/30/2024,MARICOPA,6244 West Roosevelt Street,Phoenix,AZ,85043,6237074600,0,0,,60,60+ licensed capacity,Full-Day Care; Part Day Care; 3/4/5-year-old Care,
CDC-17370,F.E.S.D.#45 - Sun Canyon Preschool,Child Care Center,Active,7/1/2024,6/30/2025,MARICOPA,8150 West Durango Street,Phoenix,AZ,85043,6237072000,0,0,,59,11-59 licensed capacity,Full-Day Care; Part Day Care; 3/4/5-year-old Care,
CDC-17371,F.E.S.D.#45 - Tuscano Preschool,Child Care Center,Active,7/1/2024,6/30/2025,MARICOPA,3850 South 79th Avenue,Phoenix,AZ,85043,6237072300,0,0,,60,60+ licensed capacity,Full-Day Care; 3/4/5-year-old Care,
CDC-6217,F.H.U.S.D.#98 - Little Falcons Preschool,Child Care Center,Active,3/1/2024,2/28/2025,MARICOPA,14825 North Fayette Drive,Fountain Hills,AZ,85268,4806645015,0,0,,104,60+ licensed capacity,Full-Day Care; Part Day Care; 3/4/5-year-old Care,
CDC-18928,F.U.S.D.#1 - Building Blocks - Florence,Child Care Center,Active,8/1/2024,7/31/2025,PINAL,301 East Brady Street,Florence,AZ,85132,5208687340,0,0,,59,11-59 licensed capacity,Full-Day Care; 3/4/5-year-old Care,
CDC-6424,F.U.S.D.#1 - Cromer F.A.C.T.S. Program,Child Care Center,Active,8/1/2024,7/31/2025,COCONINO,7150 East Silver Saddle Road,Flagstaff,AZ,86004,9287734156,0,0,Licensed,59,11-59 licensed capacity,Part Day Care; School-Age Child Care,
CDC-6423,F.U.S.D.#1 - Demiguel F.A.C.T.S.,Child Care Center,Active,12/1/2021,11/30/2024,COCONINO,3500 South Gillenwater,Flagstaff,AZ,86001,9287738439,0,0,Licensed,145,60+ licensed capacity,Part Day Care; 3/4/5-year-old Care; School-Age Child Care,
CDC-6417,F.U.S.D.#1 - Dine Family Learning Center/F.A.C.T.S.,Child Care Center,Active,6/1/2024,5/31/2025,COCONINO,40 Miles E Of Flagstaff,Leupp,AZ,86035,9286866266,0,0,Licensed,59,11-59 licensed capacity,Full-Day Care; Part Day Care; 3/4/5-year-old Care; School-Age Child Care,
CDC-6240,F.U.S.D.#1 - Eagles Crest Child Enrichment Center,Child Care Center,Active,2/1/2022,1/31/2025,COCONINO,400 West Elm Avenue,Flagstaff,AZ,86001,9287738127,10,16,,52,11-59 licensed capacity,Full-Day Care; Infant Care; One-year-old Care; Two-year-old Care; 3/4/5-year-old Care,
CDC-6415,F.U.S.D.#1 - Killip F.A.C.T.S. Family Literacy Center & Preschool,Child Care Center,Active,6/1/2024,5/31/2025,COCONINO,2300 East 6th Avenue,Flagstaff,AZ,86004,9287734088,0,0,Licensed,150,60+ licensed capacity,Full-Day Care; Part Day Care; 3/4/5-year-old Care; School-Age Child Care,
CDC-6422,F.U.S.D.#1 - Kinsey F.A.C.T.S. Program,Child Care Center,Active,10/1/2021,9/30/2024,COCONINO,1601 South Lone Tree,Flagstaff,AZ,86001,9287734066,0,0,Licensed,150,60+ licensed capacity,Full-Day Care; Part Day Care; School-Age Child Care,
CDC-6421,F.U.S.D.#1 - Knoles F.A.C.T.S. Program,Child Care Center,Active,3/1/2022,2/28/2025,COCONINO,4005 East Butler Avenue,Flagstaff,AZ,86004,9285278941,0,0,Licensed,165,60+ licensed capacity,Full-Day Care; Part Day Care; School-Age Child Care,
CDC-8397,F.U.S.D.#1 - Little Ropers Center,Child Care Center,Active,8/1/2024,7/31/2025,COCONINO,3950 East Butler Avenue,Flagstaff,AZ,86004,9285275526,18,35,Licensed,59,11-59 licensed capacity,Full-Day Care; Part Day Care; Infant Care; One-year-old Care; Two-year-old Care; 3/4/5-year-old Care; School-Age Child Care,
CDC-6416,F.U.S.D.#1 - Marshall F.A.C.T.S.,Child Care Center,Active,12/1/2021,11/30/2024,COCONINO,850 North Bonito,Flagstaff,AZ,86004,9287734039,0,0,Licensed,185,60+ licensed capacity,Full-Day Care; Part Day Care; School-Age Child Care,
0020205CDCKM72250681,F.U.S.D. #1 Partners Preschool @ Magma Ranch K-8,Child Care Center,Active,1/4/2024,1/3/2025,Pinal,10980 East Desert Mountain Boulevard,Florence,AZ,85132,520-868-7300,0,0,,20,11-59 licensed capacity,Full-Day Care; 3/4/5-year-old Care,
CDC-19051,F.U.S.D.#1 - Partners Preschool At Circle Cross Ranch K-8,Child Care Center,Active,7/1/2024,6/30/2025,PINAL,35900 North Charbray Drive,San Tan Valley,AZ,85143,4809874136,0,0,,20,11-59 licensed capacity,Full-Day Care; Part Day Care; 3/4/5-year-old Care,
CDC-17366,F.U.S.D.#1 - Partners Preschool At The Early Childhood Learning Center,Child Care Center,Active,7/1/2024,6/30/2025,PINAL,29895 North Desert Willow Blvd,San Tan Valley,AZ,85143,4809875378,0,0,,245,60+ licensed capacity,Full-Day Care; Part Day Care; 3/4/5-year-old Care,
CDC-6419,F.U.S.D.#1 - Puente De Hozho F.A.C.T.S.,Child Care Center,Active,2/1/2022,1/31/2025,COCONINO,3401 North 4th Street,Flagstaff,AZ,86004,9287734603,0,0,Licensed,90,60+ licensed capacity,Full-Day Care; Part Day Care; School-Age Child Care,
0020196CDCNX67844826,F.U.S.D. #1 - San Tan Heights K-8,Child Care Center,Active,11/15/2023,11/14/2024,Pinal,2500 West San Tan Heights Boulevard,Queen Creek,AZ,85142,480-888-7555,0,0,,22,11-59 licensed capacity,Full-Day Care; 3/4/5-year-old Care,
CDC-6420,F.U.S.D.#1 - Sechrist F.A.C.T.S. Program,Child Care Center,Active,10/1/2021,9/30/2024,COCONINO,2230 North Fort Valley Road,Flagstaff,AZ,86004,9287734616,0,0,Licensed,150,60+ licensed capacity,Full-Day Care; Part Day Care; School-Age Child Care,
CDC-6418,F.U.S.D.#1 - Thomas F.A.C.T.S. Program,Child Care Center,Active,12/1/2021,11/30/2024,COCONINO,3330 East Lockett Road,Flagstaff,AZ,86004,9285276168,0,0,Licensed,190,60+ licensed capacity,Full-Day Care; Part Day Care; 3/4/5-year-old Care; School-Age Child Care,
CDC-19066,F.W.U.S.D.#8 - Centennial Community Schools,Child Care Center,Active,8/1/2024,7/31/2025,PIMA,2200 West Wetmore Road,Tucson,AZ,85705,5204907144,0,0,Licensed,59,11-59 licensed capacity,Full-Day Care; Part Day Care; School-Age Child Care,
CDC-15380,F.W.U.S.D.#8 - Emily Meschter Early Learning Center,Child Care Center,Active,6/30/2022,6/30/2025,PIMA,4605 North La Cholla,Tucson,AZ,85705,5206968829,0,0,,165,60+ licensed capacity,Full-Day Care; Part Day Care; 3/4/5-year-old Care,
0020135CDCUB21920050,F.W.U.S.D. #8 Emily Meschter Early Learning Center - Prince Rd.,Child Care Center,Active,7/31/2023,8/2/2024,Pima,1440 West Prince Road,Tucson,AZ,85705,5206968829,0,0,,45,11-59 licensed capacity,Full-Day Care; 3/4/5-year-old Care,
CDC-19067,F.W.U.S.D.#8 - Hendricks Community Schools,Child Care Center,Active,8/1/2024,7/31/2025,PIMA,3400 West Orange Grove Road,Tucson,AZ,85741,5204907144,0,0,Licensed,80,60+ licensed capacity,Full-Day Care; Part Day Care; School-Age Child Care,
CDC-19068,F.W.U.S.D.#8 - Homer Davis Community Schools,Child Care Center,Active,8/1/2024,7/31/2025,PIMA,4250 North Romero Road,Tucson,AZ,85705,5204907144,0,0,Licensed,56,11-59 licensed capacity,Full-Day Care; Part Day Care; School-Age Child Care,
CDC-19069,F.W.U.S.D.#8 - Richardson Community Schools,Child Care Center,Active,8/1/2024,7/31/2025,PIMA,6901 North Camino De La Tierra,Tucson,AZ,85741,5204907144,0,0,Licensed,59,11-59 licensed capacity,Full-Day Care; Part Day Care; School-Age Child Care,
CDC-4102,Faith Community Academy,Child Care Center,Active,9/1/2023,8/31/2024,PIMA,2551 West Orange Grove Rd,Tucson,AZ,85741,5207424189,0,0,Licensed,59,11-59 licensed capacity,Full-Day Care; Part Day Care; 3/4/5-year-old Care; School-Age Child Care,
CDC-3144,Faith Lutheran Church & School & Preschool,Child Care Center,Active,8/1/2024,7/31/2025,PIMA,3925 East 5th Street,Tucson,AZ,85711,5208810670,0,17,Licensed,59,11-59 licensed capacity,Full-Day Care; Part Day Care; One-year-old Care; Two-year-old Care; 3/4/5-year-old Care; School-Age Child Care,
CDC-1339,Faith Lutheran Preschool,Child Care Center,Active,9/1/2023,8/31/2024,MARICOPA,801 East Camelback Road,Phoenix,AZ,85014,6022776175,12,28,Licensed,86,60+ licensed capacity,Full-Day Care; Part Day Care; Infant Care; One-year-old Care; Two-year-old Care; 3/4/5-year-old Care; School-Age Child Care,
SGH-11862,Faly's Child Care,Child Care Group Home,Active,2/1/2024,1/31/2025,YUMA,2243 West 17th Place,Yuma,AZ,85364,9287835539,0,0,Licensed,10,1-10 licensed capacity,Full-Day Care; Part Day Care; Infant Care; One-year-old Care; Two-year-old Care; 3/4/5-year-old Care; School-Age Child Care,
0020098CGHIP53236108,FAMANIA LEARNING CENTER LLC / MARCELA FAMANIA,Child Care Group Home,Active,3/7/2024,3/6/2025,Yuma,3333 East Edna Lopez Court,San Luis,AZ,85336,928-315-8095,0,0,Licensed,10,1-10 licensed capacity,Full-Day Care; One-year-old Care; Two-year-old Care; 3/4/5-year-old Care; School-Age Child Care,
CDC-19098,Family Care Kids,Child Care Center,Active,8/1/2024,7/31/2025,MARICOPA,"6750 North 7th Avenue, Bldg B",Phoenix,AZ,85013,6025620310,15,19,,102,60+ licensed capacity,Full-Day Care; Infant Care; One-year-old Care; Two-year-old Care; 3/4/5-year-old Care,
CDC-4074,Family Life Academy,Child Care Center,Active,7/31/2022,7/31/2025,PIMA,530 South Pantano Road,Tucson,AZ,85710,5202968989,0,21,Licensed,290,60+ licensed capacity,Full-Day Care; Part Day Care; One-year-old Care; Two-year-old Care; 3/4/5-year-old Care; School-Age Child Care,
CDC-4309,Family Of Christ Early Education Center,Child Care Center,Active,1/1/2024,12/31/2024,MARICOPA,3501 East Chandler Blvd,Phoenix,AZ,85048,4807594047,0,0,Licensed,125,60+ licensed capacity,Full-Day Care; Part Day Care; Two-year-old Care; 3/4/5-year-old Care; School-Age Child Care,
CDC-19100,Family Tree Day Care Center-Lake Havasu City,Child Care Center,Active,8/1/2024,7/31/2025,MOHAVE,3415 Oro Grande Boulevard,Lake Havasu City,AZ,86406,9285058719,6,17,Licensed,68,60+ licensed capacity,Full-Day Care; Part Day Care; Infant Care; One-year-old Care; Two-year-old Care; 3/4/5-year-old Care; School-Age Child Care,
0020120CGHBA34307983,Farhana Ahsan Usmani,Child Care Group Home,Active,7/1/2024,6/30/2025,Maricopa,14359 West Coronado Road,Goodyear,AZ,85395,6232135114,0,0,Licensed,10,1-10 licensed capacity,Full-Day Care; Part Day Care; Infant Care; One-year-old Care; Two-year-old Care; 3/4/5-year-old Care; School-Age Child Care,
0020027CGHTQ96288992,Firefly Daycare LLC,Child Care Group Home,Active,1/20/2024,1/19/2025,Maricopa,7836 W Globe Ave,Phoenix,AZ,85043,6235709062,0,0,Licensed,10,1-10 licensed capacity,Full-Day Care; Part Day Care; Infant Care; One-year-old Care; Two-year-old Care; 3/4/5-year-old Care; School-Age Child Care,
0020051CGHDH24580955,First Academy Daycare,Child Care Group Home,Active,7/18/2024,7/17/2025,Yuma,7827 East 43Rd Lane,Yuma,AZ,85365,7609707894,0,0,Licensed,10,1-10 licensed capacity,Full-Day Care; Part Day Care; Infant Care; One-year-old Care; Two-year-old Care; 3/4/5-year-old Care; School-Age Child Care,
CDC-1413,First Baptist Christian Academy,Child Care Center,Active,9/1/2023,8/31/2024,COCHISE,1447 South 7th Street,Sierra Vista,AZ,85635,5204582983,0,0,Licensed,170,60+ licensed capacity,Full-Day Care; Part Day Care; 3/4/5-year-old Care; School-Age Child Care,
CDC-17141,First Christian Church Preschool,Child Care Center,Active,1/1/2024,12/31/2024,YUMA,3261 South Avenue 6e,Yuma,AZ,85365,9287265616,0,0,,40,11-59 licensed capacity,Full-Day Care; Part Day Care; 3/4/5-year-old Care,
CDC-15578,First Impression Preschool/Daycare Center,Child Care Center,Active,10/1/2023,9/30/2024,PIMA,655 South Craycroft,Tucson,AZ,85711,5207456354,0,0,Licensed,59,11-59 licensed capacity,Full-Day Care; Part Day Care; Two-year-old Care; 3/4/5-year-old Care; School-Age Child Care,
