Program Name,Provider Enrollment Status,Program Phone,Program Email,Region,County,Shipping Street,Shipping City,Shipping State,Shipping Zip,Billing Street,Billing City,Billing State,Billing Zip,Account Record Type,GSQ Approved Step,License Number,License Issue Date,License Expiration Date,Capacity,Age Weeks Low,Age Months Low,Age Years Low,Age Years High,Program Type,
"Donna L. Mahoney Day Care","","(603) 393-9722","dllmahoney@myfairpoint.net","","","119 Sanborn Street","Franklin","New Hampshire","03235","","","","","Licensed Family Child Care Program","","","","","9","","","","","",""
"Dover Children's Home","","(603) 742-4289","rtouhey@doverchildrenshome.org","","","207 Locust Street","Dover","New Hampshire","03820","","","","","Residential Child Care Program","","","","","19","","","","","",""
"Dublin Community Preschool And Child Care Center","","(603) 563-8508","info@dublinpreschoolandchildcare.org","","","1281c Main Street","Dublin","New Hampshire","03444","","","","","Licensed Group Child Care Program","","","","","35","","","","","",""
"Dynamic Foundations for Families","","(603) 635-1710","everykindnesscountsllc@gmail.com","","","90 Bridge St","Pelham","NH","03076","","","","","Licensed Group Child Care Program","","","","","58","","","","","",""
"Early Beginnings for Young Learners","","(603) 429-2003","kristina@ebylnh.com","","","30 Daniel Webster Hwy 
Suite 11","Merrimack","New Hampshire","03054","","","","","Licensed Group Child Care Program","","","","","120","","","","","",""
"Early Learning Center Of Milford","","(603) 672-1949","slarabee@elcmilford.com","","","352 Elm Street","Milford","New Hampshire","03055","","","","","Licensed Group Child Care Program","","","","","67","","","","","",""
"Early Start Learning Academy and Child Care","","(603) 880-3722","stgeorgesherry@gmail.com","","","141 Kimball Hill Road","Hudson","New Hampshire","03051","","","","","Licensed Group Child Care Program","","","","","79","","","","","",""
"East Andover Village Preschool","","(603) 735-5105","eavp@tds.net","","","7 Chase Hill Road","East Andover","New Hampshire","03231","","","","","Licensed Group Child Care Program","","","","","20","","","","","",""
"East Derry Memorial School Extended Day Program","","(603) 421-0170","cjudger1115@gmail.com","","","18 Dubeau Drive","Derry","New Hampshire","03038","","","","","Licensed Group Child Care Program","","","","","75","","","","","",""
"East Side Learning Center","","(603) 224-2717","eslc@eslcnh.org","","","164 East Side Drive","Concord","New Hampshire","03301","","","","","Licensed Group Child Care Program","Step 1","","","","185","","","","","",""
"Easter Seals Child Development Center","","(603) 621-3524","ajproulx@eastersealsnh.org","","","555 Auburn Street","Manchester","New Hampshire","03103","","","","","Licensed Group Child Care Program","Step 3","","","","90","","","","","",""
"Easter Seals NH Child Development & Family Resource Center","","(603) 666-5982","jloaiza@eastersealsnh.org","","","435 South Main Street","Manchester","New Hampshire","03102","","","","","Licensed Group Child Care Program","Step 3","","","","227","","","","","",""
"Easterseals Gammon Academy at Mammoth Road","","(603) 621-3617","kgriffin@eastersealsnh.org","","","1 and 9 Mammoth Road","Manchester","New Hampshire","03103","","","","","Residential Child Care Program","","","","","21","","","","","",""
"Easterseals Gammon Academy at Zachary Road","","(603) 206-6675","jsoucy@eastersealsnh.org","","","200 Zachary Road","Manchester","New Hampshire","03109","","","","","Residential Child Care Program","","","","","106","","","","","",""
"Ebenezer Farm Child Care","","(603) 878-3715","gracecaleb@comcast.net","","","144 Thayer Road","New Ipswich","New Hampshire","03071","","","","","Licensed Family Child Care Program","","","","","17","","","","","",""
"Educare Daycare And Learning Center","","(603) 627-3392","educaredaycarecenter@gmail.com","","","379 Goffstown Back Rd","Goffstown","New Hampshire","03045","","","","","Licensed Group Child Care Program","","","","","118","","","","","",""
"Elemenope Principles Child Learning Center","","(603) 232-5225","lmnopprinciples@aol.com","","","1201 Candia Road","Manchester","New Hampshire","03109","","","","","Licensed Group Child Care Program","Step 2","","","","65","","","","","",""
"Elite After School at Chester Academy","","(603) 722-5150","directorofoperations@eliteafterschool.net","","","22 Murphy Drive","Chester","NH","03036","","","","","Licensed Group Child Care Program","","","","","45","","","","","",""
"Elite After School Plus","","(603) 722-5150","directorofoperations@eliteafterschool.net","","","292 Route 101","Bedford","NH","03110","","","","","Licensed Group Child Care Program","","","","","130","","","","","",""
"Elite Afterschool @ Riddlebrook","","(603) 722-5150","directorofoperations@eliteafterschool.net","","","230 New Boston Road","Bedford","NH","03110","","","","","Licensed Group Child Care Program","","","","","45","","","","","",""
"Elliot Child Care Center","","(603) 663-3393","rgustafson@elliot-hs.org","","","450 Massabesic Street","Manchester","New Hampshire","03103","","","","","Licensed Group Child Care Program","Step 1","","","","151","","","","","",""
"Emmanuel Child Care Center","","(603) 332-5353","childcare@emmanuelacc.net","","","63 Eastern Avenue","Rochester","New Hampshire","03867","","","","","Licensed Group Child Care Program","","","","","90","","","","","",""
"Endless Opportunities","","603.893.7710","nisinainc@gmail.com","","","47 Pelham Road","Salem","New Hampshire","03079","","","","","Licensed Group Child Care Program","","","","","50","","","","","",""
"Enfield Village After School Program","","603-304-9041","enfieldafterschool@yahoo.com","","","271 Route 4","Enfield","New Hampshire","03748","","","","","Licensed Group Child Care Program","","","","","60","","","","","",""
"Exeter Day School","","(603) 772-3342","director@exeterdayschool.com","","","11 Marlboro Street","Exeter","New Hampshire","03833","","","","","Licensed Group Child Care Program","","","","","82","","","","","",""
"Farmington Children's Center","","(603) 755-2883","ftrial@straffordcap.org","","","120 Main Street","Farmington","New Hampshire","03835","","","","","Licensed Group Child Care Program","Step 3","","","","92","","","","","",""
"First Choice For Children","","(603) 485-8613","firstchoiceforchildren@yahoo.com","","","304 Pembroke Street","Pembroke","New Hampshire","03275","","","","","Licensed Group Child Care Program","","","","","40","","","","","",""
"First Start Children's Center","","(603) 228-1341","swood@second-start.org","","","17 Knight Street","Concord","New Hampshire","03301","","","","","Licensed Group Child Care Program","Step 1","","","","150","","","","","",""
"First Steps Child Care","","(617) 272-5341","firststepschildcarenh@gmail.com","","","44 Diane Drive","Belmont","New Hampshire","03220","","","","","Licensed Group Child Care Program","","","","","20","","","","","",""
"Fit Kids Child Care at River Valley Club","","(603) 643-8650","fitkidsadmin@rivervalleyclub.com","","","14 Lafayette Street & 33 Morgan Drive","Lebanon","New Hampshire","03766","","","","","Licensed Group Child Care Program","","","","","248","","","","","",""
"Fledglings Preschool at Prescott Farm","","(603) 366-5695","smarden@prescottfarm.org","","","928 White Oaks Road","Laconia","New Hampshire","03246","","","","","Licensed Group Child Care Program","","","","","18","","","","","",""
"Footsteps Day Care And Learning Center","","(603) 357-1475","smvoisine@gmail.com","","","407 Winchester Street","Keene","New Hampshire","03431","","","","","Licensed Group Child Care Program","","","","","70","","","","","",""
"Forest Preschool at Beaver Brook","","603-465-7787","bkellner@bbanature.org","","","51 Brown Lane","Hollis","NH","03049","","","","","Licensed Group Child Care Program","","","","","20","","","","","",""
"Four Seasons Childcare","","860-966-6993","fourseasons.hampstead@gmail.com","","","239 E. Main Street Building #2","East Hampstead","NH","03841","","","","","Licensed Group Child Care Program","","","","","76","","","","","",""
"Franklin Head Start","","(603) 848-0869","kfrazier@capbm.org","","","12 Rowell Drive","Franklin","New Hampshire","03235","","","","","Licensed Group Child Care Program","Step 3","","","","40","","","","","",""
"FUN After School Program","","603-929-4466","lori@funprogram.org","","","40 Stickney Terrace","Hampton","New Hampshire","03842","","","","","Licensed Group Child Care Program","","","","","99","","","","","",""
"Gage Farm Schoolhouse","","(603) 488-1599","info@gagefarmschoolhouse.com","","","215 Wallace Road","Goffstown","NH","03045","","","","","Licensed Group Child Care Program","","","","","65","","","","","",""
"Girls Incorporated of New Hampshire","","(603) 882-6256","mmorgan@girlsincnh.org","","","27 Burke Street","Nashua","New Hampshire","03060","","","","","Licensed Group Child Care Program","","","","","125","","","","","",""
"Girls Incorporated Of New Hampshire, Manchester Division","","(603) 623-1117","ejohnston@girlsincnh.org","","","340 Varney Street","Manchester","New Hampshire","03102","","","","","Licensed Group Child Care Program","","","","","92","","","","","",""
"Goffstown Creative Kids Academy","","(603) 497-5000","sandy@goffstowncreativekids.com","","","231 Mast Road","Goffstown","New Hampshire","03045","","","","","Licensed Group Child Care Program","Step 2","","","","43","","","","","",""
"Granite Start Early Learning Center","","(603) 880-3353","office@granitestart.com","","","100 Perimeter Road","Nashua","New Hampshire","03063","","","","","Licensed Group Child Care Program","","","","","130","","","","","",""
"Granite YMCA of Somersworth","","(603) 692-2081","tcanney@graniteymca.org","","","35 Bartlett Avenue","Somersworth","NH","03878","","","","","Licensed Group Child Care Program","","","","","134","","","","","",""
"Grantham Children's Academy","","603-865-5654","info@granthamchildrensacademy.com","","","151 Rte 10 N","Grantham","NH","03753","","","","","Licensed Group Child Care Program","","","","","100","","","","","",""
"Great Bay Kids - Pease Tradeport","","603-766-5437","h.davis@greatbaykids.org","","","81 New Hampshire Avenue","Portsmouth","New Hampshire","03801","","","","","Licensed Group Child Care Program","Step 3","","","","270","","","","","",""
"Great Bay Kids Exeter","","603-772-4132","e.scarito@greatbaykids.org","","","64 Epping Road","Exeter","New Hampshire","03833","","","","","Licensed Group Child Care Program","Step 1","","","","143","","","","","",""
"Great Bay Kids Main St. School","","603-772-4132","m.lennon@greatbaykids.org","","","40 Main Street, Elementary School","Exeter","New Hampshire","03833","","","","","Licensed Group Child Care Program","","","","","65","","","","","",""
"Great Expectations Preschool","","(603) 734-5197","luckywith13@yahoo.com","","","98 Hamilton Drive","Epping","New Hampshire","03042","","","","","Licensed Group Child Care Program","","","","","8","","","","","",""
"Greater Derry Extended Day Program","","(603) 818-1008","gdedp@comcast.net","","","1 West Running Brook Lane","Derry","New Hampshire","03038","","","","","Licensed Group Child Care Program","","","","","166","","","","","",""
"Greater Derry Extended Day Program - Barka","","(603) 818-1008","gdedp@comcast.net","","","21 Eastgate Road","Derry","New Hampshire","03038","","","","","Licensed Group Child Care Program","","","","","130","","","","","",""
"Greater Derry Extended Day Program - Grinnell","","(603) 818-1008","gdedp@comcast.net","","","6 Grinnell Road","Derry","New Hampshire","03038","","","","","Licensed Group Child Care Program","","","","","203","","","","","",""
"Greater Derry Extended Day Program-South Range","","(603) 818-1008","gdedp@comcast.net","","","1 Drury Lane","Derry","NH","03038","","","","","Licensed Group Child Care Program","","","","","156","","","","","",""
"Green Mountain Children's Center","","603-543-0391","cloiselle@greenmtnchildrenscenter.org","","","90 Charlestown Road","Claremont","New Hampshire","03743","","","","","Licensed Group Child Care Program","","","","","56","","","","","",""
"Growing Imaginations Early Learning Center","","(603) 673-9662","tammie@growingimaginationsnh.com","","","188 Elm Street","Milford","New Hampshire","03055","","","","","Licensed Group Child Care Program","","","","","40","","","","","",""
"Growing Minds Preschool & Daycare","","603-354-3977","growingmindsdaycare@yahoo.com","","","69 Washington Street","Keene","New Hampshire","03431","","","","","Licensed Group Child Care Program","","","","","45","","","","","",""
"Growing Places","","(603) 868-1335","pinkhamroad@growingplacesnh.org","","","56 Pinkham Road","Lee","New Hampshire","03861","","","","","Licensed Group Child Care Program","","","","","69","","","","","",""
"Growing Places - Woodside","","(603) 969-4869","woodside@growingplacesnh.org","","","60 Strafford Avenue","Durham","New Hampshire","03824","","","","","Licensed Group Child Care Program","","","","","38","","","","","",""
"Growing Places &quot;Our Time&quot; After School","","(603) 969-8677","moharimet@growingplacesnh.org","","","11 Lee Road","Madbury","New Hampshire","03861","","","","","Licensed Group Child Care Program","","","","","64","","","","","",""
"Growing With Grace","","(603) 303-4274","gbascom11@gmail.com","","","374 Stage Road","West Nottingham","New Hampshire","03291","","","","","Licensed Family Child Care Program","","","","","9","","","","","",""
"Halona Meadow Farm and Forest Children's Place","","(603) 827-2950","robyndandersen@gmail.com","","","96 Nubanusit Road","Nelson","NH","03457","","","","","Licensed Family Child Care Program","","","","","8","","","","","",""
"Hampton Child & Family Program - Village Preschool","","603-929-7349","villageprs@aol.com","","","200 High Street","Hampton","New Hampshire","03842","","","","","Licensed Group Child Care Program","","","","","25","","","","","",""
"Happy Hearts","","603-321-9320","llpr49@aol.com","","","12 Cushing Avenue","Nashua","New Hampshire","03064","","","","","Licensed Family Child Care Program","","","","","15","","","","","",""
"Happy Helpers Preschool and Childcare","","603.742.3910","happyhelperspreschool@comcast.net","","","6 Heather Lane","Dover","NH","03821","","","","","Licensed Group Child Care Program","","","","","140","","","","","",""
"Happy Hill Daycare","","(603) 863-4650","happyhilldaycare12@gmail.com","","","269 NH Rt 10","Croydon","New Hampshire","03773","","","","","Licensed Family Child Care Program","","","","","17","","","","","",""
"Happy Valley School","","(603) 924-7362","happyvalleynh@gmail.com","","","305 Union Street","Peterborough","New Hampshire","03458","","","","","Licensed Group Child Care Program","","","","","19","","","","","",""
"Harris Family Children's Center - Phillips Exeter Academy","","(603) 777-3160","acampano@exeter.edu","","","261 Water Street","Exeter","New Hampshire","03833","","","","","Licensed Group Child Care Program","","","","","68","","","","","",""
"Harrisville Children's Center","","603-827-3905","info@harrisvillechildrenscenter.org","","","66 Main Street","Harrisville","New Hampshire","03450","","","","","Licensed Group Child Care Program","","","","","46","","","","","",""
"Hazel Drive Early Childhood Center","","(603) 329-9600","laura@hazeldrivekids.com","","","35 Hazel Drive","Hampstead","New Hampshire","03841","","","","","Licensed Group Child Care Program","","","","","59","","","","","",""
"Hazel MacBrien Nursery School","","(603) 522-6860","hazelmacbrienns@gmail.com","","","2718 Wakefield Road","Sanbornville","New Hampshire","03872","","","","","Licensed Group Child Care Program","","","","","13","","","","","",""
"Healthy Kids Child Care Solutions Corp.","","(603) 878-2962","shannon@healthykidsprograms.com","","","13 Darling Hill Rd","Mason","NH","03048","","","","","Licensed Group Child Care Program","","","","","60","","","","","",""
"Heather's Little Angels","","(603) 536-2332","alsgal72599@gmail.com","","","12 Yeaton Road, Suite C8","Plymouth","New Hampshire","03264","","","","","Licensed Group Child Care Program","","","","","28","","","","","",""
"Here We Grow Learning Center","","(603) 890-1234","herewegrowlc@yahoo.com","","","401 Main Street Units 100-103","Salem","New Hampshire","03079","","","","","Licensed Group Child Care Program","","","","","80","","","","","",""
"Hogarth Country Day School","","(603) 679-2097","hcds@comcast.net","","","41 Water Street","Epping","New Hampshire","03042","","","","","Licensed Group Child Care Program","","","","","14","","","","","",""
"Hollis Academy For Children","","(603) 465-7005","cdirector@tds.net","","","4-A Market Place","Hollis","New Hampshire","03049","","","","","Licensed Group Child Care Program","","","","","58","","","","","",""
"Hollis Preschool","","(603) 465-3089","admin@hollispreschool.com","","","5 Market Place","Hollis","New Hampshire","03049","","","","","Licensed Group Child Care Program","","","","","40","","","","","",""
"Holy Angels Preschool and Kindergarten","","(603) 382-9783","holyangelsprek@comcast.net","","","8 Atkinson Depot Road","Plaistow","New Hampshire","03865","","","","","Licensed Group Child Care Program","","","","","57","","","","","",""
"Holy Cross Early Childhood Center","","603-668-0510","holycrossecc@yahoo.com","","","420 Island Pond Road","Manchester","New Hampshire","03109","","","","","Licensed Group Child Care Program","Step 1","","","","40","","","","","",""
"Home Away From Home","","(603) 313-9319","hafh.ipad@gmail.com","","","11 Maplewood Circle","Walpole","New Hampshire","03608","","","","","Licensed Group Child Care Program","","","","","27","","","","","",""
"Honey Hill Child Care","","603-749-3144","amychapman1231@gmail.com","","","57 Central Avenue","Dover","New Hampshire","03820","","","","","Licensed Group Child Care Program","","","","","25","","","","","",""
"Honeybee Hollow Children's Center","","(603) 903-0005","aromaneck.hhcc@gmail.com","","","1 Simeneau Lane","Swanzey","NH","03446-","","","","","Licensed Group Child Care Program","","","","","60","","","","","",""
"Hooksett's Best After School and Summer Camp","","(603) 851-3783","hooksettsbest@gmail.com","","","1271 Hooksett Road Suite 3","Hooksett","NH","03106","","","","","Licensed Group Child Care Program","","","","","40","","","","","",""
"Hummingbird Hill Play Garden","","(603) 654-2088","greenjane@verizon.net","","","378 Pettingill HIll Road","Lyndeborough","New Hampshire","03082","","","","","Licensed Family Child Care Program","","","","","17","","","","","",""
"Humpty Dumpty Learning Center","","(603) 882-6075","cindysaintamant@icloud.com","","","22 Lovewell Street","Nashua","New Hampshire","03060","","","","","Licensed Group Child Care Program","","","","","65","","","","","",""
"Hurney's Nursery and Day Care","","(603) 485-9483","hurneys@icloud.com","","","4 Colonial Drive","Pembroke","New Hampshire","03275","","","","","Licensed Group Child Care Program","","","","","32","","","","","",""
"Imagination Inn","","(603) 735-5900","imaginationinn@gmail.com","","","45 North Street","Andover","New Hampshire","03216","","","","","Licensed Group Child Care Program","","","","","71","","","","","",""
"Imaginations...A Child's Place","","(603) 476-8400","childsplace@roadrunner.com","","","903 Whittier Highway","Moultonborough","New Hampshire","03254","","","","","Licensed Group Child Care Program","","","","","59","","","","","",""
"Immersion Montessori School","","603-322-3556","operations@uvims.com","","","434 N. Main Street","West Lebanon","New Hampshire","03784","","","","","Licensed Group Child Care Program","","","","","66","","","","","",""
"Immersion Montessori School - Hanover Street","","(603) 322-3556","operations@uvims.com","","","139 Hanover Street","Lebanon","NH","03766","","","","","Licensed Group Child Care Program","","","","","45","","","","","",""
"Immersion Montessori School - Mt. Lebanon","","(603) 322-3556","operations@uvims.com","","","5 White Ave","West Lebanon","NH","03784","","","","","Licensed Group Child Care Program","","","","","45","","","","","",""
"Immersion Montessori School - Wonder Woods","","603-359-6630","operations@uvims.com","","","79 E. Wilder Road","West Lebanon","NH","03784","","","","","Licensed Group Child Care Program","","","","","58","","","","","",""
"Imprints Day School","","(603) 379-8015","andrea@imprintsdayschool.com","","","2 Lafayette Road","North Hampton","NH","03862","","","","","Licensed Group Child Care Program","","","","","206","","","","","",""
"Inspiring Minds Childcare And Learning Center","","(603) 419-9118","audreysullivan25@gmail.com","","","40 Thorndike Street","Concord","New Hampshire","03301","","","","","Licensed Group Child Care Program","","","","","40","","","","","",""
"Inter-Lakes Day Care Center And Nursery School","","(603) 279-8903","ildcc@metrocast.net","","","The Bixby House, 36 Lang Street","Meredith","New Hampshire","03253","","","","","Licensed Group Child Care Program","","","","","55","","","","","",""
"It Takes A Village","","(603) 893-4948","ittakesavillage.derry@gmail.com","","","72 Rte111","Atkinson","NH","03811","","","","","Licensed Group Child Care Program","","","","","99","","","","","",""
"It Takes A Village","","(603) 647-2273","ittakesavillage.goffstown@gmail.com","","","526B Mast Road","Goffstown","NH","03045","","","","","Licensed Group Child Care Program","","","","","25","","","","","",""
"It Takes a Village Allenstown","","603-210-1041","ittakesavillage.allenstown@gmail.com","","","44 Pinewood Road","Allenstown","NH","03275","","","","","Licensed Group Child Care Program","","","","","40","","","","","",""
"It Takes a Village Child Care: Day Dreamers","","(603) 216-5627","daydreamersnh@gmail.com","","","33 Indian Rock Road Bldg 3 Suite 1","Windham","NH","03087","","","","","Licensed Group Child Care Program","","","","","66","","","","","",""
"It Takes a Village West","","(603) 268-1764","ittakesavillage.goffstown@gmail.com","","","36 N Mast Street","Goffstown","NH","03045","","","","","Licensed Group Child Care Program","","","","","30","","","","","",""
"It's a Child's World","","(603) 606-1990","miranda@childsworldllc.com","","","32 Hooksett Road","Auburn","New Hampshire","03032","","","","","Licensed Group Child Care Program","","","","","44","","","","","",""
"J-Nissi Learning Center LLC","","(603) 264-8339","jnissicenter@gmail.com","","","162 Manchester Street","Manchester","NH","03101","","","","","Licensed Group Child Care Program","","","","","12","","","","","",""
"Jack And Jill Cooperative Nursery School","","603-357-8550","plawton@ne.rr.com","","","679 Old Homestead Highway","Swanzey","New Hampshire","03446","","","","","Licensed Group Child Care Program","","","","","19","","","","","",""
"Jack and Jill School","","603-332-3177","debc@jackandjillschool.net","","","56 Whitehall Road","Rochester","New Hampshire","03867","","","","","Licensed Group Child Care Program","","","","","75","","","","","",""
"Jacob's Ladder Learning Center at L.U.M.C.","","(603) 204-0875","jacobsladder56@gmail.com","","","258 Mammoth Road","Londonderry","New Hampshire","03053","","","","","Licensed Group Child Care Program","","","","","14","","","","","",""
"Jacques Extension School Age Program","","(603) 801-0459","gsopper@svbgc.org","","","9 Elm Street","Milford","New Hampshire","03055","","","","","Licensed Group Child Care Program","","","","","104","","","","","",""
"Jane's Peanut Gallery","","603-641-6311","janespeanutgal6@yahoo.com","","","24 South Gray Court","Manchester","New Hampshire","03103","","","","","Licensed Family Child Care Program","","","","","9","","","","","",""
"Jens Home Daycare","","(603) 913-9730","jprice37@yahoo.com","","","14 Regina Street","Hudson","New Hampshire","03051","","","","","Licensed Family Child Care Program","","","","","9","","","","","",""
"JJ's Playland","","(603) 539-7922","grnmtn.jess@yahoo.com","","","846 Green Mountain Road","Effingham","New Hampshire","03882","","","","","Licensed Family Child Care Program","","","","","17","","","","","",""
"Joyful Noise","","(603) 704-9499","admin@joyfulnoisenh.com","","","515 Daniel Webster Highway Unit D","Merrimack","NH","03054","","","","","Licensed Group Child Care Program","","","","","50","","","","","",""
"Joyful Noise Preschool and Learning Center","","603-224-6069","jnlc1@comcast.net","","","6  & 8 Branch Londonderry Turnpike East","Bow","New Hampshire","03304","","","","","Licensed Group Child Care Program","","","","","72","","","","","",""
"Karla's Angels Daycare","","(603) 840-2835","barajasvital32@gmail.com","","","33 Williams Street","Nashua","NH","03060","","","","","Licensed Family Child Care Program","","","","","12","","","","","",""
"KCE Champions at Dr. HO Smith School","","(603) 327-5395","erin.lucey@discoverchampions.com","","","33 School Street","Hudson","New Hampshire","03051","","","","","Licensed Group Child Care Program","","","","","45","","","","","",""
"KCE Champions at Hills Garrison","","(603) 320-5832","ch001338@discoverchampions.com","","","190 Derry Street","Hudson","New Hampshire","03051","","","","","Licensed Group Child Care Program","","","","","60","","","","","",""
"KCE Champions at Nottingham West","","(603) 327-5395","ch001339@discoverchampions.com","","","10 Pelham Road","Hudson","New Hampshire","03051","","","","","Licensed Group Child Care Program","","","","","60","","","","","",""
"KCE Champions LLC @ Northwood","","(503) 757-1458","ch001628@discoverchampions.com","","","511 1st. NH Turnpike","Northwood","New Hampshire","03261","","","","","Licensed Group Child Care Program","","","","","45","","","","","",""
"Keene Day Care Center","","(603) 352-2129","suelaine_kdcc@yahoo.com","","","86 Wood Street","Keene","New Hampshire","03431","","","","","Licensed Group Child Care Program","Step 3","","","","90","","","","","",""
"Keene Family YMCA - JD Site","","(603) 313-1750","preschoolatjd@keene-ymca.org","","","227 Maple Avenue","Keene","New Hampshire","03431","","","","","Licensed Group Child Care Program","","","","","76","","","","","",""
"Keene Family YMCA at Church of the Nazarene","","(603) 283-5253","kgregory@keene-ymca.org","","","55 Maple Ave","Keene","New Hampshire","03431","","","","","License Exempt Facility","","","","","30","","","","","",""
"Keene Family YMCA Children's Learning Center","","(603) 283-5253","kgregory@keene-ymca.org","","","200 Summit Road","Keene","New Hampshire","03431","","","","","Licensed Group Child Care Program","Step 1","","","","256","","","","","",""
"Keene Montessori School","","603-352-4052","lgiza@keenemontessorischool.org","","","125 Railroad Street","Keene","New Hampshire","03431","","","","","Licensed Group Child Care Program","","","","","92","","","","","",""
"Keene State College Child Development Center","","(603) 358-2233","dmcpartl@keene.edu","","","229 Main Street","Keene","New Hampshire","03435","","","","","Licensed Group Child Care Program","Step 3","","","","55","","","","","",""
"Kelly's Little Friends Daycare","","(603) 523-8875","nhfriends111@yahoo.com","","","45 Grafton Turnpike Road","Canaan","New Hampshire","03741","","","","","Licensed Family Child Care Program","","","","","17","","","","","",""
"Kerri Madigan's Day Care","","603-490-3726","madkerri@yahoo.com","","","162 South Road","Londonderry","NH","03053","","","","","Licensed Family Child Care Program","","","","","10","","","","","",""
"Kid Adventures Before/After School Program","","(603) 464-1220","nhkidadventures@gmail.com","","","4 Hillcat Drive","Hillsboro","NH","03244","","","","","Licensed Group Child Care Program","","","","","125","","","","","",""
"Kid Logic","","(603) 642-8000","kidlogicco@gmail.com","","","14 Powwow River Road","East Kingston","New Hampshire","03827","","","","","Licensed Group Child Care Program","","","","","40","","","","","",""
"Kid's Culture - Dover","","(603) 834-9700","kidsculturechildcare7@gmail.com","","","32 St Thomas St - McConnell Center","Dover","New Hampshire","03820","","","","","Licensed Group Child Care Program","Step 1","","","","64","","","","","",""
"Kid's Culture - Somersworth","","(603) 841-7374","kidsculturechildcare4@gmail.com","","","233 Rte 108","Somersworth","New Hampshire","03878","","","","","Licensed Group Child Care Program","Step 1","","","","58","","","","","",""
"Kidazzle Child Care","","(603) 534-2995","kidazzle1@gmail.com","","","243 Smoke Street","Barrington","New Hampshire","03825","","","","","Licensed Family Child Care Program","","","","","17","","","","","",""
"Kiddie Academy","","(603) 882-5434","windham@kiddieacademy.net","","","156 Haverhill Road","Windham","New Hampshire","03087","","","","","Licensed Group Child Care Program","Step 3","","","","126","","","","","",""
"Kiddie Cove Child Care","","(603) 369-8510","kiddiecovechildcare19@yahoo.com","","","4 Freedom Drive","Franklin","New Hampshire","03235","","","","","Licensed Family Child Care Program","","","","","10","","","","","",""
"Kids By The Common","","(603) 434-2113","kidsbythecommon.nh@gmail.com","","","126 Pillsbury Road","Londonderry","New Hampshire","03053","","","","","Licensed Group Child Care Program","","","","","80","","","","","",""
"Kids Club","","(603) 532-6543","kc.llc@live.com","","","49 Squantum Road","Jaffrey","New Hampshire","03452","","","","","Licensed Group Child Care Program","","","","","60","","","","","",""
"Kids Corner 205","","(978) 697-3962","kidscorner205@yahoo.com","","","205 Middle Road","Center Tuftonboro","New Hampshire","03816","","","","","Licensed Group Child Care Program","","","","","24","","","","","",""
"Kids Culture","","(603) 973-3319","kidsculturechildcare@gmail.com","","","43 Back River Road","Dover","NH","03820","","","","","Licensed Group Child Care Program","","","","","101","","","","","",""
"Kids Culture - Barrington","","(603) 905-9065","kidsculturechildcare4@gmail.com","","","8 Eastern Avenue","Barrington","New Hampshire","03825","","","","","Licensed Group Child Care Program","Step 1","","","","149","","","","","",""
"Kids Inn","","(603) 672-1199","amherst.kidsinn1952@gmail.com","","","67 Route 101A","Amherst","New Hampshire","03031","","","","","Licensed Group Child Care Program","","","","","63","","","","","",""
"Kids With Spirit","","(603) 648-2733","salisburychurchnh@yahoo.com","","","13 Franklin Road","Salisbury","New Hampshire","03268","","","","","Licensed Group Child Care Program","","","","","20","","","","","",""
"Kids World Academy of New Hampshire","","603-863-5113","kidsworldacademynh@comcast.net","","","648 John Stark Highway","Newport","New Hampshire","03773","","","","","Licensed Group Child Care Program","","","","","43","","","","","",""
"Kidworks Learning Center","","(603) 279-6633","kidworkslc@gmail.com","","","37 Reservoir Road","Meredith","New Hampshire","03253","","","","","Licensed Group Child Care Program","","","","","88","","","","","",""
"Kimba's Kids","","(603) 635-8941","kimbaskids2@msn.com","","","43 Bridge Street","Pelham","New Hampshire","03076","","","","","Licensed Group Child Care Program","","","","","48","","","","","",""
"KinderCare Learning Center","","(603) 897-1255","stephanie.hamel@kindercare.com","","","3 Holiday Circle","Nashua","New Hampshire","03062","","","","","Licensed Group Child Care Program","Step 3","","","","129","","","","","",""
"KinderCare Learning Center","","(603) 423-9779","301711@klcorp.com","","","4 Continental Boulevard","Merrimack","New Hampshire","03054","","","","","Licensed Group Child Care Program","Step 3","","","","125","","","","","",""
"KinderCare Learning Center","","(603) 432-2288","londonderry@kindercare.com","","","7 Garden Lane","Londonderry","New Hampshire","03053","","","","","Licensed Group Child Care Program","Step 3","","","","146","","","","","",""
"KinderCare Learning Center - Bedford","","(603) 621-7485","301560@klcorp.com","","","3 Upjohn Street","Bedford","New Hampshire","03110","","","","","Licensed Group Child Care Program","Step 3","","","","156","","","","","",""
"KinderCare Learning Center - Portsmouth","","(603) 431-8010","303080@klcorp.com","","","72 Mirona Road","Portsmouth","New Hampshire","03801","","","","","Licensed Group Child Care Program","Step 3","","","","148","","","","","",""
"Kindercare Learning Center - Rivier","","(603) 888-0442","081079@kindercare.com","","","29 Clement Street","Nashua","New Hampshire","03060","","","","","Licensed Group Child Care Program","","","","","152","","","","","",""
"King's Kastle Daycare","","(603) 735-4197","samking@tds.net","","","135 Beech Hill Road","Andover","New Hampshire","03216","","","","","Licensed Family Child Care Program","","","","","9","","","","","",""
